				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
四肢	曲線	愛惜	身體	0.74	0.45	0.364	0.396	0.138	0.141	0.19
心理	曲線	愛惜	身體	0.74	0.369	0.364	0.396	0.094	0.104	0.19
四肢	心理	愛惜	身體	0.737	0.45	0.369	0.396	0.231	0.141	0.104
四肢	人	愛惜	身體	0.729	0.45	0.276	0.396	0.203	0.141	0.048
器官	身高	接觸	身體	0.728	0.425	0.344	0.35	0.185	0.089	0.117
四肢	心理	曲線	身體	0.719	0.45	0.369	0.364	0.231	0.138	0.094
器官	身高	愛惜	身體	0.714	0.425	0.344	0.396	0.185	0.141	0.125
身高	頭腦	愛惜	身體	0.713	0.344	0.424	0.396	0.093	0.125	0.232
四肢	心理	接觸	身體	0.711	0.45	0.369	0.35	0.231	0.083	0.144
器官	手腳	接觸	身體	0.703	0.425	0.454	0.35	0.189	0.089	0.247
曲線	人	愛惜	身體	0.702	0.364	0.276	0.396	0.096	0.19	0.048
器官	身高	運動	身體	0.7	0.425	0.344	0.439	0.185	0.235	0.088
器官	身高	頭腦	身體	0.696	0.425	0.344	0.424	0.185	0.219	0.093
四肢	曲線	接觸	身體	0.694	0.45	0.364	0.35	0.138	0.083	0.249
人	結構	愛惜	身體	0.69	0.276	0.356	0.396	0.067	0.048	0.223
器官	手腳	身高	身體	0.69	0.425	0.454	0.344	0.189	0.185	0.159
生理	人	愛惜	身體	0.675	0.425	0.276	0.396	0.186	0.187	0.048
器官	曲線	愛惜	身體	0.674	0.425	0.364	0.396	0.18	0.141	0.19
器官	人	愛惜	身體	0.663	0.425	0.276	0.396	0.244	0.141	0.048
身高	結構	愛惜	身體	0.661	0.344	0.356	0.396	0.087	0.125	0.223
器官	自己	接觸	身體	0.659	0.425	0.383	0.35	0.23	0.089	0.179
手腳	生理	接觸	身體	0.659	0.454	0.425	0.35	0.201	0.247	0.122
生理	頭腦	愛惜	身體	0.659	0.425	0.424	0.396	0.166	0.187	0.232
器官	頭腦	愛惜	身體	0.652	0.425	0.424	0.396	0.219	0.141	0.232
四肢	曲線	人	身體	0.652	0.45	0.364	0.276	0.138	0.203	0.096
四肢	人	接觸	身體	0.651	0.45	0.276	0.35	0.203	0.083	0.139
四肢	結構	愛惜	身體	0.65	0.45	0.356	0.396	0.187	0.141	0.223
心理	人	愛惜	身體	0.639	0.369	0.276	0.396	0.249	0.104	0.048
器官	自己	運動	身體	0.636	0.425	0.383	0.439	0.23	0.235	0.146
曲線	身高	頭腦	身體	0.633	0.364	0.344	0.424	0.178	0.227	0.093
手腳	身高	接觸	身體	0.625	0.454	0.344	0.35	0.159	0.247	0.117
四肢	人	結構	身體	0.625	0.45	0.276	0.356	0.203	0.187	0.067
器官	曲線	接觸	身體	0.621	0.425	0.364	0.35	0.18	0.089	0.249
手腳	人類	身高	身體	0.618	0.454	0.467	0.344	0.245	0.159	0.243
人	頭腦	愛惜	身體	0.615	0.276	0.424	0.396	0.201	0.048	0.232
心理	頭腦	愛惜	身體	0.614	0.369	0.424	0.396	0.237	0.104	0.232
心理	手腳	接觸	身體	0.611	0.369	0.454	0.35	0.17	0.144	0.247
曲線	身高	愛惜	身體	0.61	0.364	0.344	0.396	0.178	0.19	0.125
器官	身高	結構	身體	0.608	0.425	0.344	0.356	0.185	0.244	0.087
生理	人	接觸	身體	0.604	0.425	0.276	0.35	0.186	0.122	0.139
器官	曲線	自己	身體	0.603	0.425	0.364	0.383	0.18	0.23	0.159
心理	曲線	頭腦	身體	0.598	0.369	0.364	0.424	0.094	0.237	0.227
心理	曲線	接觸	身體	0.596	0.369	0.364	0.35	0.094	0.144	0.249
器官	曲線	身高	身體	0.589	0.425	0.364	0.344	0.18	0.185	0.178
器官	曲線	頭腦	身體	0.587	0.425	0.364	0.424	0.18	0.219	0.227
曲線	洗澡	頭腦	身體	0.581	0.364	0.289	0.424	0.094	0.227	0.174
器官	人	接觸	身體	0.578	0.425	0.276	0.35	0.244	0.089	0.139
四肢	心理	運動	身體	0.576	0.45	0.369	0.439	0.231	0.241	0.209
曲線	生理	頭腦	身體	0.576	0.364	0.425	0.424	0.244	0.227	0.166
洗澡	自己	結構	身體	0.573	0.289	0.383	0.356	0.239	0.092	0.123
生理	人	頭腦	身體	0.573	0.425	0.276	0.424	0.186	0.166	0.201
洗澡	人	結構	身體	0.572	0.289	0.276	0.356	0.19	0.092	0.067
心理	曲線	人	身體	0.569	0.369	0.364	0.276	0.094	0.249	0.096
洗澡	身高	結構	身體	0.569	0.289	0.344	0.356	0.241	0.092	0.087
