				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
輪子	汽油	擁擠	車子	0.709	0.491	0.352	0.344	0.189	0.149	0.141
輪子	汽油	塞車	車子	0.648	0.491	0.352	0.436	0.189	0.197	0.246
輪子	進口	塞車	車子	0.616	0.491	0.338	0.436	0.231	0.197	0.222
輪子	汽油	音響	車子	0.606	0.491	0.352	0.4	0.189	0.23	0.218
輪子	速度	音響	車子	0.59	0.491	0.292	0.4	0.214	0.23	0.149
輪子	速度	塞車	車子	0.589	0.491	0.292	0.436	0.214	0.197	0.219
輪子	交通	進口	車子	0.589	0.491	0.312	0.338	0.154	0.231	0.168
輪子	速度	擁擠	車子	0.585	0.491	0.292	0.344	0.214	0.149	0.179
輪子	交通	音響	車子	0.578	0.491	0.312	0.4	0.154	0.23	0.242
輪子	音響	道路	車子	0.565	0.491	0.4	0.304	0.23	0.204	0.195
輪子	進口	擁擠	車子	0.562	0.491	0.338	0.344	0.231	0.149	0.232
引擎	擁擠	機車	車子	0.548	0.313	0.344	0.39	0.097	0.241	0.161
汽油	擁擠	機車	車子	0.547	0.352	0.344	0.39	0.141	0.236	0.161
輪子	汽油	速度	車子	0.541	0.491	0.352	0.292	0.189	0.214	0.191
輪子	速度	進口	車子	0.525	0.491	0.292	0.338	0.214	0.231	0.152
引擎	塞車	機車	車子	0.519	0.313	0.436	0.39	0.2	0.241	0.179
汽油	塞車	機車	車子	0.516	0.352	0.436	0.39	0.246	0.236	0.179
輪子	交通	速度	車子	0.505	0.491	0.312	0.292	0.154	0.214	0.223
輪子	進口	道路	車子	0.501	0.491	0.338	0.304	0.231	0.204	0.197
速度	塞車	機車	車子	0.488	0.292	0.436	0.39	0.219	0.231	0.179
汽油	速度	音響	車子	0.486	0.352	0.292	0.4	0.191	0.218	0.149
汽油	速度	擁擠	車子	0.477	0.352	0.292	0.344	0.191	0.141	0.179
速度	進口	塞車	車子	0.474	0.292	0.338	0.436	0.152	0.219	0.222
速度	飛機	道路	車子	0.455	0.292	0.473	0.304	0.225	0.221	0.168
速度	擁擠	機車	車子	0.454	0.292	0.344	0.39	0.179	0.231	0.161
輪子	速度	道路	車子	0.447	0.491	0.292	0.304	0.214	0.204	0.221
速度	音響	道路	車子	0.431	0.292	0.4	0.304	0.149	0.221	0.195
引擎	進口	擁擠	車子	0.425	0.313	0.338	0.344	0.241	0.097	0.232
汽油	速度	塞車	車子	0.424	0.352	0.292	0.436	0.191	0.246	0.219
引擎	進口	塞車	車子	0.424	0.313	0.338	0.436	0.241	0.2	0.222
速度	進口	擁擠	車子	0.412	0.292	0.338	0.344	0.152	0.179	0.232
交通	速度	進口	車子	0.4	0.312	0.292	0.338	0.223	0.168	0.152
交通	速度	音響	車子	0.391	0.312	0.292	0.4	0.223	0.242	0.149
汽油	速度	機車	車子	0.375	0.352	0.292	0.39	0.191	0.236	0.231
速度	進口	道路	車子	0.364	0.292	0.338	0.304	0.152	0.221	0.197
交通	速度	機車	車子	0.36	0.312	0.292	0.39	0.223	0.18	0.231
交通	引擎	機車	車子	0.357	0.312	0.313	0.39	0.237	0.18	0.241
引擎	機車	道路	車子	0.356	0.313	0.39	0.304	0.241	0.214	0.197
速度	機車	道路	車子	0.337	0.292	0.39	0.304	0.231	0.221	0.197
交通	引擎	進口	車子	0.317	0.312	0.313	0.338	0.237	0.168	0.241
引擎	進口	道路	車子	0.303	0.313	0.338	0.304	0.241	0.214	0.197
