				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
意外	傷患	汽車	車禍	0.727	0.469	0.352	0.439	0.249	0.144	0.139
意外	救護車	難過	車禍	0.717	0.469	0.486	0.349	0.133	0.235	0.219
可怕	傷患	汽車	車禍	0.698	0.303	0.352	0.439	0.168	0.089	0.139
救護車	喝酒	悲慘	車禍	0.693	0.486	0.286	0.436	0.18	0.209	0.126
救護車	喝酒	不幸	車禍	0.683	0.486	0.286	0.364	0.18	0.091	0.181
意外	汽車	難過	車禍	0.682	0.469	0.439	0.349	0.144	0.235	0.197
死亡	汽車	難過	車禍	0.663	0.424	0.439	0.349	0.16	0.192	0.197
傷患	汽車	不幸	車禍	0.663	0.352	0.439	0.364	0.139	0.234	0.118
救護車	慘重	喝酒	車禍	0.657	0.486	0.308	0.286	0.107	0.18	0.136
傷患	汽車	悲慘	車禍	0.655	0.352	0.439	0.436	0.139	0.194	0.238
喝酒	汽車	悲慘	車禍	0.632	0.286	0.439	0.436	0.165	0.126	0.238
現場	喝酒	不幸	車禍	0.63	0.426	0.286	0.364	0.175	0.089	0.181
喝酒	汽車	不幸	車禍	0.625	0.286	0.439	0.364	0.165	0.181	0.118
急救	汽車	悲慘	車禍	0.61	0.352	0.439	0.436	0.222	0.156	0.238
現場	警察	不幸	車禍	0.609	0.426	0.262	0.364	0.249	0.089	0.105
可怕	傷患	現場	車禍	0.603	0.303	0.352	0.426	0.168	0.092	0.218
傷患	現場	不幸	車禍	0.601	0.352	0.426	0.364	0.218	0.234	0.089
意外	警察	慘狀	車禍	0.596	0.469	0.262	0.425	0.223	0.21	0.128
急救	汽車	難過	車禍	0.591	0.352	0.439	0.349	0.222	0.13	0.197
救護車	死人	慘重	車禍	0.569	0.486	0.283	0.308	0.248	0.107	0.153
傷患	喝酒	汽車	車禍	0.568	0.352	0.286	0.439	0.205	0.139	0.165
死人	傷患	汽車	車禍	0.568	0.283	0.352	0.439	0.192	0.174	0.139
可怕	急救	汽車	車禍	0.566	0.303	0.352	0.439	0.216	0.089	0.222
警察	保險	不幸	車禍	0.564	0.262	0.433	0.364	0.23	0.105	0.16
傷患	恐怖	汽車	車禍	0.56	0.352	0.289	0.439	0.17	0.139	0.211
喝酒	保險	悲慘	車禍	0.559	0.286	0.433	0.436	0.228	0.126	0.241
醫院	喝酒	不幸	車禍	0.555	0.454	0.286	0.364	0.239	0.129	0.181
意外	傷患	現場	車禍	0.553	0.469	0.352	0.426	0.249	0.227	0.218
傷患	慘重	汽車	車禍	0.552	0.352	0.308	0.439	0.227	0.139	0.181
慘重	喝酒	汽車	車禍	0.551	0.308	0.286	0.439	0.136	0.181	0.165
傷患	喝酒	悲慘	車禍	0.549	0.352	0.286	0.436	0.205	0.194	0.126
