				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
機車	行人	行動	車輛	0.811	0.497	0.435	0.322	0.117	0.175	0.151
機車	危險	行人	車輛	0.791	0.497	0.369	0.435	0.228	0.117	0.165
交通	機車	行動	車輛	0.72	0.464	0.497	0.322	0.18	0.209	0.175
塞車	機車	人群	車輛	0.714	0.355	0.497	0.322	0.179	0.165	0.116
交通	機車	危險	車輛	0.682	0.464	0.497	0.369	0.18	0.24	0.228
機車	行人	汽油	車輛	0.675	0.497	0.435	0.343	0.117	0.236	0.247
擁擠	機車	汽油	車輛	0.671	0.369	0.497	0.343	0.161	0.141	0.236
機車	噪音	道路	車輛	0.659	0.497	0.284	0.449	0.137	0.197	0.239
機車	人群	行動	車輛	0.656	0.497	0.322	0.322	0.116	0.175	0.195
機車	噪音	行動	車輛	0.625	0.497	0.284	0.322	0.137	0.175	0.168
擁擠	機車	行動	車輛	0.624	0.369	0.497	0.322	0.161	0.228	0.175
機車	吵雜	道路	車輛	0.616	0.497	0.267	0.449	0.223	0.197	0.177
機車	危險	人群	車輛	0.602	0.497	0.369	0.322	0.228	0.116	0.243
機車	人群	汽油	車輛	0.599	0.497	0.322	0.343	0.116	0.236	0.212
吵雜	飛機	道路	車輛	0.586	0.267	0.463	0.449	0.246	0.177	0.168
機車	行動	汽油	車輛	0.575	0.497	0.322	0.343	0.175	0.236	0.177
機車	危險	噪音	車輛	0.548	0.497	0.369	0.284	0.228	0.137	0.238
機車	危險	汽油	車輛	0.535	0.497	0.369	0.343	0.228	0.236	0.21
塞車	機車	汽油	車輛	0.534	0.355	0.497	0.343	0.179	0.246	0.236
行人	廢氣	行動	車輛	0.531	0.435	0.41	0.322	0.245	0.151	0.241
車禍	人群	汽油	車輛	0.53	0.416	0.322	0.343	0.149	0.191	0.212
行人	行動	汽油	車輛	0.526	0.435	0.322	0.343	0.151	0.247	0.177
危險	行人	汽油	車輛	0.525	0.369	0.435	0.343	0.165	0.21	0.247
機車	吵雜	汽油	車輛	0.511	0.497	0.267	0.343	0.223	0.236	0.137
擁擠	行動	汽油	車輛	0.488	0.369	0.322	0.343	0.228	0.141	0.177
機車	行動	吵雜	車輛	0.475	0.497	0.322	0.267	0.175	0.223	0.214
車禍	吵雜	汽油	車輛	0.466	0.416	0.267	0.343	0.232	0.191	0.137
廢氣	人群	行動	車輛	0.435	0.41	0.322	0.322	0.185	0.241	0.195
行動	吵雜	汽油	車輛	0.404	0.322	0.267	0.343	0.214	0.177	0.137
人群	行動	汽油	車輛	0.404	0.322	0.322	0.343	0.195	0.212	0.177
塞車	人群	汽油	車輛	0.398	0.355	0.322	0.343	0.165	0.246	0.212
危險	人群	汽油	車輛	0.37	0.369	0.322	0.343	0.243	0.21	0.212
