				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
圓形	爆炸	車行	輪胎	0.673	0.348	0.286	0.436	0.171	0.184	0.042
圓	爆炸	車行	輪胎	0.65	0.265	0.286	0.436	0.108	0.187	0.042
機車	圓	安全	輪胎	0.639	0.403	0.265	0.297	0.179	0.088	0.059
機車	橡皮	安全	輪胎	0.636	0.403	0.327	0.297	0.107	0.088	0.196
機車	滾動	橡皮	輪胎	0.626	0.403	0.307	0.327	0.112	0.107	0.193
機車	滾動	游泳	輪胎	0.625	0.403	0.307	0.28	0.112	0.115	0.139
橡皮	安全	車行	輪胎	0.62	0.327	0.297	0.436	0.196	0.08	0.164
機車	打氣	安全	輪胎	0.613	0.403	0.315	0.297	0.203	0.088	0.111
滾動	橡皮	車行	輪胎	0.612	0.307	0.327	0.436	0.193	0.186	0.08
機車	滾動	安全	輪胎	0.608	0.403	0.307	0.297	0.112	0.088	0.2
機車	圓	爆炸	輪胎	0.608	0.403	0.265	0.286	0.179	0.06	0.108
公路	轉動	橡皮	輪胎	0.603	0.394	0.331	0.327	0.145	0.111	0.192
爆炸	車行	游泳	輪胎	0.602	0.286	0.436	0.28	0.042	0.216	0.143
機車	爆炸	打氣	輪胎	0.601	0.403	0.286	0.315	0.06	0.203	0.14
公路	橡皮	打氣	輪胎	0.596	0.394	0.327	0.315	0.111	0.143	0.186
圓形	車行	游泳	輪胎	0.595	0.348	0.436	0.28	0.184	0.142	0.143
公路	滾動	橡皮	輪胎	0.589	0.394	0.307	0.327	0.136	0.111	0.193
圓	安全	車行	輪胎	0.588	0.265	0.297	0.436	0.059	0.187	0.164
機車	橡皮	道路	輪胎	0.587	0.403	0.327	0.31	0.107	0.197	0.15
圓形	安全	車行	輪胎	0.582	0.348	0.297	0.436	0.151	0.184	0.164
機車	爆炸	游泳	輪胎	0.579	0.403	0.286	0.28	0.06	0.115	0.216
機車	滾動	交通	輪胎	0.576	0.403	0.307	0.292	0.112	0.18	0.135
爆炸	備用	車行	輪胎	0.57	0.286	0.28	0.436	0.159	0.042	0.231
公路	圓	橡皮	輪胎	0.566	0.394	0.265	0.327	0.095	0.111	0.214
機車	橡皮	交通	輪胎	0.564	0.403	0.327	0.292	0.107	0.18	0.171
機車	圓	游泳	輪胎	0.557	0.403	0.265	0.28	0.179	0.115	0.097
滾動	車行	游泳	輪胎	0.556	0.307	0.436	0.28	0.186	0.139	0.143
圓	車行	游泳	輪胎	0.553	0.265	0.436	0.28	0.187	0.097	0.143
橡皮	備用	車行	輪胎	0.551	0.327	0.28	0.436	0.18	0.08	0.231
機車	橡皮	打氣	輪胎	0.549	0.403	0.327	0.315	0.107	0.203	0.186
圓	橡皮	車行	輪胎	0.547	0.265	0.327	0.436	0.214	0.187	0.08
公路	橡皮	備用	輪胎	0.544	0.394	0.327	0.28	0.111	0.166	0.18
機車	滾動	道路	輪胎	0.538	0.403	0.307	0.31	0.112	0.197	0.174
公路	圓	打氣	輪胎	0.536	0.394	0.265	0.315	0.095	0.143	0.2
圓形	公路	打氣	輪胎	0.535	0.348	0.394	0.315	0.155	0.224	0.143
機車	圓	道路	輪胎	0.52	0.403	0.265	0.31	0.179	0.197	0.083
機車	爆炸	備用	輪胎	0.519	0.403	0.286	0.28	0.06	0.231	0.159
公路	圓	爆炸	輪胎	0.519	0.394	0.265	0.286	0.095	0.224	0.108
機車	爆炸	道路	輪胎	0.515	0.403	0.286	0.31	0.06	0.197	0.227
公路	圓	備用	輪胎	0.507	0.394	0.265	0.28	0.095	0.166	0.171
圓	打氣	安全	輪胎	0.507	0.265	0.315	0.297	0.2	0.059	0.111
機車	打氣	交通	輪胎	0.504	0.403	0.315	0.292	0.203	0.18	0.124
轉動	橡皮	道路	輪胎	0.499	0.331	0.327	0.31	0.192	0.126	0.15
機車	圓	橡皮	輪胎	0.496	0.403	0.265	0.327	0.179	0.107	0.214
公路	滾動	打氣	輪胎	0.496	0.394	0.307	0.315	0.136	0.143	0.242
機車	橡皮	備用	輪胎	0.492	0.403	0.327	0.28	0.107	0.231	0.18
圓	道路	備用	輪胎	0.491	0.265	0.31	0.28	0.083	0.171	0.109
滾動	安全	車行	輪胎	0.491	0.307	0.297	0.436	0.2	0.186	0.164
公路	爆炸	打氣	輪胎	0.488	0.394	0.286	0.315	0.224	0.143	0.14
機車	圓	交通	輪胎	0.485	0.403	0.265	0.292	0.179	0.18	0.116
機車	打氣	游泳	輪胎	0.485	0.403	0.315	0.28	0.203	0.115	0.195
圓形	公路	爆炸	輪胎	0.479	0.348	0.394	0.286	0.155	0.171	0.224
橡皮	道路	備用	輪胎	0.478	0.327	0.31	0.28	0.15	0.18	0.109
圓形	打氣	安全	輪胎	0.474	0.348	0.315	0.297	0.224	0.151	0.111
機車	滾動	打氣	輪胎	0.469	0.403	0.307	0.315	0.112	0.203	0.242
備用	車行	游泳	輪胎	0.459	0.28	0.436	0.28	0.231	0.162	0.143
機車	道路	備用	輪胎	0.457	0.403	0.31	0.28	0.197	0.231	0.109
機車	備用	游泳	輪胎	0.455	0.403	0.28	0.28	0.231	0.115	0.162
圓	橡皮	道路	輪胎	0.455	0.265	0.327	0.31	0.214	0.083	0.15
橡皮	打氣	交通	輪胎	0.452	0.327	0.315	0.292	0.186	0.171	0.124
公路	滾動	備用	輪胎	0.447	0.394	0.307	0.28	0.136	0.166	0.233
橡皮	打氣	安全	輪胎	0.445	0.327	0.315	0.297	0.186	0.196	0.111
圓	爆炸	道路	輪胎	0.442	0.265	0.286	0.31	0.108	0.083	0.227
機車	道路	游泳	輪胎	0.442	0.403	0.31	0.28	0.197	0.115	0.24
轉動	橡皮	交通	輪胎	0.438	0.331	0.327	0.292	0.192	0.148	0.171
圓形	打氣	交通	輪胎	0.437	0.348	0.315	0.292	0.224	0.17	0.124
圓	道路	游泳	輪胎	0.434	0.265	0.31	0.28	0.083	0.097	0.24
機車	打氣	道路	輪胎	0.433	0.403	0.315	0.31	0.203	0.197	0.195
圓	打氣	交通	輪胎	0.431	0.265	0.315	0.292	0.2	0.116	0.124
滾動	橡皮	道路	輪胎	0.427	0.307	0.327	0.31	0.193	0.174	0.15
滾動	橡皮	交通	輪胎	0.427	0.307	0.327	0.292	0.193	0.135	0.171
轉動	橡皮	安全	輪胎	0.424	0.331	0.327	0.297	0.192	0.142	0.196
橡皮	打氣	道路	輪胎	0.42	0.327	0.315	0.31	0.186	0.15	0.195
圓	橡皮	安全	輪胎	0.42	0.265	0.327	0.297	0.214	0.059	0.196
圓	爆炸	打氣	輪胎	0.417	0.265	0.286	0.315	0.108	0.2	0.14
機車	安全	備用	輪胎	0.416	0.403	0.297	0.28	0.088	0.231	0.244
機車	滾動	備用	輪胎	0.415	0.403	0.307	0.28	0.112	0.231	0.233
滾動	打氣	交通	輪胎	0.414	0.307	0.315	0.292	0.242	0.135	0.124
圓形	爆炸	打氣	輪胎	0.413	0.348	0.286	0.315	0.171	0.224	0.14
公路	爆炸	備用	輪胎	0.412	0.394	0.286	0.28	0.224	0.166	0.159
圓	打氣	道路	輪胎	0.41	0.265	0.315	0.31	0.2	0.083	0.195
圓	爆炸	游泳	輪胎	0.41	0.265	0.286	0.28	0.108	0.097	0.216
公路	爆炸	轉動	輪胎	0.405	0.394	0.286	0.331	0.224	0.145	0.238
機車	圓	打氣	輪胎	0.401	0.403	0.265	0.315	0.179	0.203	0.2
圓	備用	游泳	輪胎	0.394	0.265	0.28	0.28	0.171	0.097	0.162
圓	爆炸	備用	輪胎	0.393	0.265	0.286	0.28	0.108	0.171	0.159
機車	備用	交通	輪胎	0.392	0.403	0.28	0.292	0.231	0.18	0.172
圓	備用	車行	輪胎	0.39	0.265	0.28	0.436	0.171	0.187	0.231
圓形	爆炸	游泳	輪胎	0.385	0.348	0.286	0.28	0.171	0.142	0.216
圓	橡皮	交通	輪胎	0.382	0.265	0.327	0.292	0.214	0.116	0.171
圓形	打氣	游泳	輪胎	0.381	0.348	0.315	0.28	0.224	0.142	0.195
滾動	道路	備用	輪胎	0.381	0.307	0.31	0.28	0.174	0.233	0.109
爆炸	道路	備用	輪胎	0.381	0.286	0.31	0.28	0.227	0.159	0.109
圓	備用	交通	輪胎	0.376	0.265	0.28	0.292	0.171	0.116	0.172
圓形	道路	游泳	輪胎	0.376	0.348	0.31	0.28	0.179	0.142	0.24
橡皮	備用	交通	輪胎	0.374	0.327	0.28	0.292	0.18	0.171	0.172
圓形	打氣	道路	輪胎	0.373	0.348	0.315	0.31	0.224	0.179	0.195
安全	備用	車行	輪胎	0.373	0.297	0.28	0.436	0.244	0.164	0.231
滾動	備用	車行	輪胎	0.373	0.307	0.28	0.436	0.233	0.186	0.231
圓	安全	備用	輪胎	0.367	0.265	0.297	0.28	0.059	0.171	0.244
機車	圓	備用	輪胎	0.367	0.403	0.265	0.28	0.179	0.231	0.171
滾動	打氣	安全	輪胎	0.367	0.307	0.315	0.297	0.242	0.2	0.111
圓	打氣	游泳	輪胎	0.367	0.265	0.315	0.28	0.2	0.097	0.195
圓形	爆炸	道路	輪胎	0.366	0.348	0.286	0.31	0.171	0.179	0.227
道路	備用	游泳	輪胎	0.359	0.31	0.28	0.28	0.109	0.24	0.162
轉動	道路	游泳	輪胎	0.35	0.331	0.31	0.28	0.126	0.205	0.24
爆炸	打氣	道路	輪胎	0.347	0.286	0.315	0.31	0.14	0.227	0.195
滾動	道路	游泳	輪胎	0.344	0.307	0.31	0.28	0.174	0.139	0.24
滾動	橡皮	安全	輪胎	0.343	0.307	0.327	0.297	0.193	0.2	0.196
滾動	備用	交通	輪胎	0.339	0.307	0.28	0.292	0.233	0.135	0.172
爆炸	轉動	道路	輪胎	0.336	0.286	0.331	0.31	0.238	0.227	0.126
滾動	備用	游泳	輪胎	0.333	0.307	0.28	0.28	0.233	0.139	0.162
爆炸	打氣	游泳	輪胎	0.33	0.286	0.315	0.28	0.14	0.216	0.195
滾動	橡皮	打氣	輪胎	0.328	0.307	0.327	0.315	0.193	0.242	0.186
滾動	打氣	游泳	輪胎	0.326	0.307	0.315	0.28	0.242	0.139	0.195
滾動	打氣	道路	輪胎	0.32	0.307	0.315	0.31	0.242	0.174	0.195
爆炸	備用	游泳	輪胎	0.309	0.286	0.28	0.28	0.159	0.216	0.162
