				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
城市	清靜	農人	農村	0.667	0.432	0.261	0.458	0.107	0.231	0.145
稻田	城市	樸實	農村	0.609	0.31	0.432	0.398	0.239	0.156	0.137
城市	農人	樸素	農村	0.58	0.432	0.458	0.314	0.231	0.15	0.242
城市	樸實	牛車	農村	0.573	0.432	0.398	0.343	0.137	0.219	0.245
稻田	鄉下	城市	農村	0.568	0.31	0.45	0.432	0.207	0.239	0.179
稻田	城市	清靜	農村	0.545	0.31	0.432	0.261	0.239	0.112	0.107
純樸	稻田	城市	農村	0.545	0.426	0.31	0.432	0.202	0.183	0.239
城市	寧靜	農人	農村	0.536	0.432	0.287	0.458	0.194	0.231	0.215
城市	村姑	清靜	農村	0.525	0.432	0.319	0.261	0.214	0.107	0.166
城市	農夫	清靜	農村	0.515	0.432	0.412	0.261	0.24	0.107	0.242
稻田	城市	淳樸	農村	0.51	0.31	0.432	0.425	0.239	0.207	0.213
城市	牛車	樸素	農村	0.501	0.432	0.343	0.314	0.219	0.15	0.218
城市	清靜	牛車	農村	0.494	0.432	0.261	0.343	0.107	0.219	0.216
都市	清靜	農人	農村	0.48	0.318	0.261	0.458	0.166	0.244	0.145
稻田	城市	樸素	農村	0.477	0.31	0.432	0.314	0.239	0.191	0.15
稻田	鄉下	生活	農村	0.472	0.31	0.45	0.335	0.207	0.208	0.207
城市	村姑	牛車	農村	0.468	0.432	0.319	0.343	0.214	0.219	0.193
都市	樸實	牛車	農村	0.453	0.318	0.398	0.343	0.161	0.201	0.245
都市	農人	樸素	農村	0.452	0.318	0.458	0.314	0.244	0.151	0.242
城市	村姑	寧靜	農村	0.439	0.432	0.319	0.287	0.214	0.194	0.191
鄉下	田地	生活	農村	0.438	0.45	0.325	0.335	0.222	0.207	0.243
清靜	農人	生活	農村	0.427	0.261	0.458	0.335	0.145	0.245	0.235
城市	村姑	悠閒	農村	0.424	0.432	0.319	0.294	0.214	0.188	0.219
稻田	城市	悠閒	農村	0.421	0.31	0.432	0.294	0.239	0.189	0.188
稻田	城市	恬靜	農村	0.419	0.31	0.432	0.307	0.239	0.184	0.208
稻田	城市	寧靜	農村	0.418	0.31	0.432	0.287	0.239	0.177	0.194
城市	寧靜	牛車	農村	0.413	0.432	0.287	0.343	0.194	0.219	0.236
都市	牛車	樸素	農村	0.405	0.318	0.343	0.314	0.201	0.151	0.218
稻田	樸實	牛車	農村	0.405	0.31	0.398	0.343	0.156	0.246	0.245
清靜	牛車	田野	農村	0.394	0.261	0.343	0.348	0.216	0.135	0.207
稻田	清靜	故鄉	農村	0.391	0.31	0.261	0.362	0.112	0.181	0.249
都市	寧靜	農人	農村	0.385	0.318	0.287	0.458	0.219	0.244	0.215
稻田	城市	牛車	農村	0.382	0.31	0.432	0.343	0.239	0.246	0.219
稻田	牛車	生活	農村	0.379	0.31	0.343	0.335	0.246	0.208	0.155
村姑	清靜	牛車	農村	0.348	0.319	0.261	0.343	0.166	0.193	0.216
稻田	清靜	牛車	農村	0.34	0.31	0.261	0.343	0.112	0.246	0.216
稻田	清靜	生活	農村	0.339	0.31	0.261	0.335	0.112	0.208	0.245
都市	清靜	牛車	農村	0.339	0.318	0.261	0.343	0.166	0.201	0.216
村姑	清靜	故鄉	農村	0.334	0.319	0.261	0.362	0.166	0.193	0.249
村姑	寧靜	牛車	農村	0.33	0.319	0.287	0.343	0.191	0.193	0.236
都市	清靜	故鄉	農村	0.327	0.318	0.261	0.362	0.166	0.199	0.249
農夫	清靜	生活	農村	0.323	0.412	0.261	0.335	0.242	0.197	0.245
清靜	牛車	生活	農村	0.322	0.261	0.343	0.335	0.216	0.245	0.155
稻田	牛車	樸素	農村	0.312	0.31	0.343	0.314	0.246	0.191	0.218
田地	清靜	故鄉	農村	0.31	0.325	0.261	0.362	0.21	0.178	0.249
都市	寧靜	牛車	農村	0.293	0.318	0.287	0.343	0.219	0.201	0.236
稻田	寧靜	牛車	農村	0.281	0.31	0.287	0.343	0.177	0.246	0.236
田地	清靜	生活	農村	0.222	0.325	0.261	0.335	0.21	0.243	0.245
