				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
籃球	傷害	瘦身	運動	0.641	0.454	0.34	0.321	0.19	0.182	0.102
健身	傷害	賽跑	運動	0.633	0.448	0.34	0.378	0.106	0.22	0.207
傷害	足球	瘦身	運動	0.622	0.34	0.332	0.321	0.064	0.102	0.205
傷害	網球	瘦身	運動	0.611	0.34	0.453	0.321	0.178	0.102	0.223
棒球	傷害	瘦身	運動	0.588	0.275	0.34	0.321	0.069	0.177	0.102
傷害	瘦身	排球	運動	0.58	0.34	0.321	0.328	0.102	0.093	0.214
流汗	傷害	網球	運動	0.579	0.35	0.34	0.453	0.186	0.2	0.178
流汗	傷害	足球	運動	0.554	0.35	0.34	0.332	0.186	0.217	0.064
傷害	足球	賽跑	運動	0.554	0.34	0.332	0.378	0.064	0.207	0.226
傷害	瘦身	賽跑	運動	0.553	0.34	0.321	0.378	0.102	0.207	0.178
棒球	公園	瘦身	運動	0.535	0.275	0.408	0.321	0.175	0.177	0.117
流汗	傷害	排球	運動	0.531	0.35	0.34	0.328	0.186	0.208	0.093
籃球	流汗	傷害	運動	0.521	0.454	0.35	0.34	0.246	0.19	0.186
瘦身	球員	賽跑	運動	0.52	0.321	0.356	0.378	0.157	0.178	0.2
流汗	棒球	公園	運動	0.515	0.35	0.275	0.408	0.205	0.138	0.175
傷害	賽跑	排球	運動	0.511	0.34	0.378	0.328	0.207	0.093	0.236
棒球	傷害	賽跑	運動	0.505	0.275	0.34	0.378	0.069	0.213	0.207
流汗	棒球	傷害	運動	0.505	0.35	0.275	0.34	0.205	0.186	0.069
流汗	公園	排球	運動	0.504	0.35	0.408	0.328	0.138	0.208	0.237
流汗	強身	公園	運動	0.498	0.35	0.336	0.408	0.213	0.138	0.246
公園	瘦身	排球	運動	0.489	0.408	0.321	0.328	0.117	0.237	0.214
操場	體力	瘦身	運動	0.488	0.424	0.367	0.321	0.248	0.186	0.19
打球	傷害	賽跑	運動	0.462	0.354	0.34	0.378	0.193	0.21	0.207
健康	球員	賽跑	運動	0.459	0.317	0.356	0.378	0.218	0.174	0.2
流汗	傷害	賽跑	運動	0.437	0.35	0.34	0.378	0.186	0.238	0.207
強身	球員	賽跑	運動	0.427	0.336	0.356	0.378	0.23	0.214	0.2
體力	足球	瘦身	運動	0.424	0.367	0.332	0.321	0.2	0.19	0.205
棒球	體力	瘦身	運動	0.423	0.275	0.367	0.321	0.173	0.177	0.19
足球	瘦身	賽跑	運動	0.422	0.332	0.321	0.378	0.205	0.226	0.178
操場	棒球	瘦身	運動	0.414	0.424	0.275	0.321	0.243	0.186	0.177
強身	足球	賽跑	運動	0.412	0.336	0.332	0.378	0.195	0.214	0.226
流汗	強壯	排球	運動	0.406	0.35	0.349	0.328	0.233	0.208	0.18
流汗	球員	賽跑	運動	0.406	0.35	0.356	0.378	0.239	0.238	0.2
棒球	瘦身	賽跑	運動	0.406	0.275	0.321	0.378	0.177	0.213	0.178
健康	棒球	公園	運動	0.405	0.317	0.275	0.408	0.222	0.197	0.175
強身	打球	賽跑	運動	0.404	0.336	0.354	0.378	0.241	0.214	0.21
操場	棒球	體力	運動	0.403	0.424	0.275	0.367	0.243	0.248	0.173
流汗	強身	賽跑	運動	0.4	0.35	0.336	0.378	0.213	0.238	0.214
瘦身	賽跑	排球	運動	0.399	0.321	0.378	0.328	0.178	0.214	0.236
流汗	足球	強壯	運動	0.397	0.35	0.332	0.349	0.217	0.233	0.183
棒球	強身	公園	運動	0.394	0.275	0.336	0.408	0.204	0.175	0.246
健康	操場	棒球	運動	0.393	0.317	0.424	0.275	0.158	0.222	0.243
流汗	強身	足球	運動	0.392	0.35	0.336	0.332	0.213	0.217	0.195
體力	瘦身	排球	運動	0.389	0.367	0.321	0.328	0.19	0.223	0.214
流汗	強身	排球	運動	0.385	0.35	0.336	0.328	0.213	0.208	0.209
強身	賽跑	排球	運動	0.384	0.336	0.378	0.328	0.214	0.209	0.236
強身	公園	排球	運動	0.381	0.336	0.408	0.328	0.246	0.209	0.237
流汗	足球	賽跑	運動	0.378	0.35	0.332	0.378	0.217	0.238	0.226
流汗	賽跑	排球	運動	0.374	0.35	0.378	0.328	0.238	0.208	0.236
流汗	棒球	強壯	運動	0.37	0.35	0.275	0.349	0.205	0.233	0.165
足球	瘦身	強壯	運動	0.366	0.332	0.321	0.349	0.205	0.183	0.248
健康	棒球	賽跑	運動	0.36	0.317	0.275	0.378	0.222	0.174	0.213
流汗	強身	球員	運動	0.36	0.35	0.336	0.356	0.213	0.239	0.23
棒球	強身	賽跑	運動	0.359	0.275	0.336	0.378	0.204	0.213	0.214
瘦身	強壯	排球	運動	0.356	0.321	0.349	0.328	0.248	0.214	0.18
棒球	瘦身	強壯	運動	0.354	0.275	0.321	0.349	0.177	0.165	0.248
流汗	棒球	賽跑	運動	0.347	0.35	0.275	0.378	0.205	0.238	0.213
流汗	棒球	強身	運動	0.339	0.35	0.275	0.336	0.205	0.213	0.204
