				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
人群	現代	水泥	都市	0.526	0.364	0.425	0.274	0.151	0.188	0.198
吵雜	現代	水泥	都市	0.526	0.263	0.425	0.274	0.144	0.094	0.198
繁華	人群	水泥	都市	0.513	0.439	0.364	0.274	0.229	0.147	0.188
鄉村	繁忙	大廈	都市	0.485	0.405	0.35	0.282	0.156	0.24	0.156
鄉村	人群	繁忙	都市	0.476	0.405	0.364	0.35	0.239	0.156	0.248
鄉村	繁忙	水泥	都市	0.453	0.405	0.35	0.274	0.156	0.243	0.177
人群	叢林	繁忙	都市	0.444	0.364	0.339	0.35	0.219	0.248	0.143
人群	繁忙	高樓	都市	0.413	0.364	0.35	0.364	0.248	0.245	0.172
人群	繁忙	大廈	都市	0.385	0.364	0.35	0.282	0.248	0.207	0.156
人群	繁忙	水泥	都市	0.375	0.364	0.35	0.274	0.248	0.188	0.177
鄉村	人群	水泥	都市	0.372	0.405	0.364	0.274	0.239	0.243	0.188
鄉村	吵雜	水泥	都市	0.365	0.405	0.263	0.274	0.239	0.243	0.094
鄉村	人群	大廈	都市	0.364	0.405	0.364	0.282	0.239	0.24	0.207
吵雜	水泥	規劃	都市	0.318	0.263	0.274	0.281	0.094	0.211	0.194
人群	水泥	規劃	都市	0.308	0.364	0.274	0.281	0.188	0.229	0.194
繁忙	水泥	規劃	都市	0.284	0.35	0.274	0.281	0.177	0.249	0.194
人群	繁忙	規劃	都市	0.269	0.364	0.35	0.281	0.248	0.229	0.249
