				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
純樸	田地	俱樂部	鄉村	0.736	0.495	0.315	0.427	0.183	0.198	0.12
純樸	稻田	俱樂部	鄉村	0.726	0.495	0.31	0.427	0.202	0.198	0.107
都市	純樸	俱樂部	鄉村	0.72	0.405	0.495	0.427	0.194	0.214	0.198
樸實	稻田	俱樂部	鄉村	0.709	0.416	0.31	0.427	0.156	0.182	0.107
都市	樸實	俱樂部	鄉村	0.691	0.405	0.416	0.427	0.161	0.214	0.182
樸實	田地	俱樂部	鄉村	0.686	0.416	0.315	0.427	0.171	0.182	0.12
落後	農夫	原野	鄉村	0.681	0.252	0.464	0.368	0.096	0.066	0.242
純樸	原野	俱樂部	鄉村	0.669	0.495	0.368	0.427	0.233	0.198	0.189
城市	純樸	小路	鄉村	0.667	0.457	0.495	0.338	0.183	0.209	0.232
樸實	原野	俱樂部	鄉村	0.659	0.416	0.368	0.427	0.181	0.182	0.189
都市	安詳	俱樂部	鄉村	0.656	0.405	0.299	0.427	0.108	0.214	0.153
純樸	小路	俱樂部	鄉村	0.655	0.495	0.338	0.427	0.232	0.198	0.175
城市	樸實	稻田	鄉村	0.653	0.457	0.416	0.31	0.137	0.239	0.156
城市	輕鬆	小路	鄉村	0.651	0.457	0.251	0.338	0.065	0.209	0.121
城市	安靜	農夫	鄉村	0.651	0.457	0.323	0.464	0.151	0.24	0.202
純樸	歌手	俱樂部	鄉村	0.648	0.495	0.354	0.427	0.217	0.198	0.212
落後	原野	俱樂部	鄉村	0.647	0.252	0.368	0.427	0.066	0.146	0.189
田野	安詳	俱樂部	鄉村	0.647	0.405	0.299	0.427	0.184	0.148	0.153
農田	歌手	輕鬆	鄉村	0.645	0.481	0.354	0.251	0.193	0.179	0.069
城市	純樸	稻田	鄉村	0.64	0.457	0.495	0.31	0.183	0.239	0.202
城市	落後	農夫	鄉村	0.636	0.457	0.252	0.464	0.201	0.24	0.096
城市	樸實	小路	鄉村	0.635	0.457	0.416	0.338	0.137	0.209	0.231
田野	落後	俱樂部	鄉村	0.634	0.405	0.252	0.427	0.157	0.148	0.146
稻田	安詳	俱樂部	鄉村	0.632	0.31	0.299	0.427	0.145	0.107	0.153
樸實	歌手	俱樂部	鄉村	0.626	0.416	0.354	0.427	0.176	0.182	0.212
都市	純樸	小路	鄉村	0.623	0.405	0.495	0.338	0.194	0.188	0.232
稻田	落後	俱樂部	鄉村	0.618	0.31	0.252	0.427	0.119	0.107	0.146
田野	歌手	輕鬆	鄉村	0.616	0.405	0.354	0.251	0.236	0.089	0.069
城市	稻田	輕鬆	鄉村	0.615	0.457	0.31	0.251	0.239	0.065	0.099
農田	落後	歌手	鄉村	0.612	0.481	0.252	0.354	0.213	0.193	0.07
落後	農夫	小路	鄉村	0.61	0.252	0.464	0.338	0.096	0.118	0.23
落後	悠閒	歌手	鄉村	0.607	0.252	0.391	0.354	0.212	0.07	0.108
落後	歌手	俱樂部	鄉村	0.605	0.252	0.354	0.427	0.07	0.146	0.212
稻田	安靜	俱樂部	鄉村	0.601	0.31	0.323	0.427	0.123	0.107	0.23
都市	落後	俱樂部	鄉村	0.601	0.405	0.252	0.427	0.124	0.214	0.146
樸實	小路	俱樂部	鄉村	0.593	0.416	0.338	0.427	0.231	0.182	0.175
都市	小路	俱樂部	鄉村	0.593	0.405	0.338	0.427	0.188	0.214	0.175
歌手	安詳	俱樂部	鄉村	0.592	0.354	0.299	0.427	0.122	0.212	0.153
落後	歌手	原野	鄉村	0.591	0.252	0.354	0.368	0.07	0.066	0.247
田野	歌手	俱樂部	鄉村	0.59	0.405	0.354	0.427	0.236	0.148	0.212
城市	悠閒	小路	鄉村	0.584	0.457	0.391	0.338	0.188	0.209	0.205
歌手	原野	輕鬆	鄉村	0.583	0.354	0.368	0.251	0.247	0.069	0.074
田地	歌手	輕鬆	鄉村	0.582	0.315	0.354	0.251	0.199	0.069	0.069
城市	寧靜	稻田	鄉村	0.58	0.457	0.423	0.31	0.194	0.239	0.177
城市	農夫	小路	鄉村	0.58	0.457	0.464	0.338	0.24	0.209	0.23
落後	小路	俱樂部	鄉村	0.579	0.252	0.338	0.427	0.118	0.146	0.175
都市	樸實	小路	鄉村	0.578	0.405	0.416	0.338	0.161	0.188	0.231
城市	稻田	安靜	鄉村	0.578	0.457	0.31	0.323	0.239	0.151	0.123
