				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
生病	專業	針筒	醫師	0.582	0.271	0.401	0.286	0.067	0.102	0.207
專業	病患	針筒	醫師	0.581	0.401	0.481	0.286	0.136	0.207	0.244
看病	專業	針筒	醫師	0.563	0.402	0.401	0.286	0.136	0.183	0.207
白衣	聽診器	執照	醫師	0.542	0.275	0.35	0.407	0.153	0.118	0.22
專業	治病	針筒	醫師	0.532	0.401	0.322	0.286	0.122	0.207	0.148
生病	專業	聽診器	醫師	0.531	0.271	0.401	0.35	0.067	0.233	0.191
白衣	專業	聽診器	醫師	0.527	0.275	0.401	0.35	0.156	0.153	0.191
病患	針筒	執照	醫師	0.525	0.481	0.286	0.407	0.244	0.16	0.244
生病	專業	藥方	醫師	0.517	0.271	0.401	0.401	0.067	0.243	0.245
白衣	專業	藥方	醫師	0.515	0.275	0.401	0.401	0.156	0.16	0.245
白衣	專業	開刀	醫師	0.51	0.275	0.401	0.356	0.156	0.12	0.247
生病	針筒	執照	醫師	0.481	0.271	0.286	0.407	0.102	0.137	0.244
生病	聽診器	執照	醫師	0.439	0.271	0.35	0.407	0.233	0.137	0.22
白衣	診斷	針筒	醫師	0.426	0.275	0.444	0.286	0.145	0.214	0.22
看病	針筒	執照	醫師	0.425	0.402	0.286	0.407	0.183	0.242	0.244
治病	針筒	執照	醫師	0.418	0.322	0.286	0.407	0.148	0.204	0.244
白衣	針筒	執照	醫師	0.391	0.275	0.286	0.407	0.214	0.118	0.244
白衣	專業	針筒	醫師	0.385	0.275	0.401	0.286	0.156	0.214	0.207
