				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
專業	白袍	打針	醫生	0.716	0.416	0.305	0.499	0.109	0.239	0.157
治病	專業	白袍	醫生	0.713	0.396	0.416	0.305	0.122	0.173	0.109
專業	開刀	白袍	醫生	0.664	0.416	0.423	0.305	0.247	0.109	0.124
生病	專業	白袍	醫生	0.656	0.314	0.416	0.305	0.067	0.202	0.109
開刀	愛心	白袍	醫生	0.642	0.423	0.334	0.305	0.165	0.124	0.131
白衣	專業	打針	醫生	0.617	0.3	0.416	0.499	0.156	0.204	0.239
白衣	專業	開刀	醫生	0.616	0.3	0.416	0.423	0.156	0.12	0.247
治病	愛心	白袍	醫生	0.539	0.396	0.334	0.305	0.193	0.173	0.131
治病	嚴肅	白袍	醫生	0.469	0.396	0.289	0.305	0.159	0.173	0.189
治病	嚴肅	愛心	醫生	0.442	0.396	0.289	0.334	0.159	0.193	0.224
生病	愛心	白袍	醫生	0.392	0.314	0.334	0.305	0.228	0.202	0.131
嚴肅	愛心	白袍	醫生	0.384	0.289	0.334	0.305	0.224	0.189	0.131
生病	嚴肅	白袍	醫生	0.352	0.314	0.289	0.305	0.164	0.202	0.189
生病	嚴肅	愛心	醫生	0.32	0.314	0.289	0.334	0.164	0.228	0.224
