				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
名利	黃金	運用	金錢	0.738	0.453	0.369	0.33	0.095	0.087	0.232
買賣	名利	台幣	金錢	0.736	0.398	0.453	0.298	0.154	0.163	0.095
萬能	名利	台幣	金錢	0.733	0.346	0.453	0.298	0.12	0.149	0.095
名利	台幣	運用	金錢	0.716	0.453	0.298	0.33	0.095	0.087	0.184
購物	名利	台幣	金錢	0.713	0.35	0.453	0.298	0.09	0.203	0.095
慾望	台幣	運用	金錢	0.702	0.38	0.298	0.33	0.02	0.102	0.184
萬能	價值	名利	金錢	0.699	0.346	0.464	0.453	0.236	0.12	0.208
萬能	慾望	台幣	金錢	0.693	0.346	0.38	0.298	0.162	0.149	0.02
買賣	慾望	台幣	金錢	0.688	0.398	0.38	0.298	0.204	0.163	0.02
萬能	利益	台幣	金錢	0.686	0.346	0.354	0.298	0.074	0.149	0.089
儲蓄	名利	台幣	金錢	0.681	0.39	0.453	0.298	0.158	0.208	0.095
萬能	交易	名利	金錢	0.671	0.346	0.324	0.453	0.14	0.12	0.192
萬能	投資	名利	金錢	0.671	0.346	0.381	0.453	0.243	0.12	0.147
萬能	揮霍	利益	金錢	0.67	0.346	0.472	0.354	0.237	0.074	0.191
交易	名利	台幣	金錢	0.668	0.324	0.453	0.298	0.192	0.12	0.095
揮霍	利益	台幣	金錢	0.662	0.472	0.354	0.298	0.191	0.182	0.089
利益	罪惡	台幣	金錢	0.635	0.354	0.434	0.298	0.175	0.089	0.187
交易	名利	運用	金錢	0.634	0.324	0.453	0.33	0.192	0.195	0.087
罪惡	富翁	運用	金錢	0.624	0.434	0.329	0.33	0.208	0.2	0.061
揮霍	利益	黃金	金錢	0.615	0.472	0.354	0.369	0.191	0.239	0.15
物質	交易	台幣	金錢	0.603	0.481	0.324	0.298	0.152	0.228	0.12
揮霍	交易	台幣	金錢	0.601	0.472	0.324	0.298	0.191	0.182	0.12
現實	名利	台幣	金錢	0.6	0.409	0.453	0.298	0.231	0.234	0.095
利益	罪惡	運用	金錢	0.584	0.354	0.434	0.33	0.175	0.159	0.2
萬能	揮霍	交易	金錢	0.574	0.346	0.472	0.324	0.237	0.14	0.191
罪惡	賺錢	台幣	金錢	0.571	0.434	0.444	0.298	0.247	0.187	0.171
物質	買賣	台幣	金錢	0.566	0.481	0.398	0.298	0.219	0.228	0.163
萬能	價值	慾望	金錢	0.56	0.346	0.464	0.38	0.236	0.162	0.232
罪惡	價值	富翁	金錢	0.559	0.434	0.464	0.329	0.241	0.208	0.219
萬能	交易	台幣	金錢	0.559	0.346	0.324	0.298	0.14	0.149	0.12
現實	交易	名利	金錢	0.553	0.409	0.324	0.453	0.211	0.231	0.192
利益	台幣	運用	金錢	0.55	0.354	0.298	0.33	0.089	0.159	0.184
物質	買賣	富翁	金錢	0.548	0.481	0.398	0.329	0.219	0.224	0.216
萬能	揮霍	台幣	金錢	0.547	0.346	0.472	0.298	0.237	0.149	0.182
購物	利益	台幣	金錢	0.547	0.35	0.354	0.298	0.163	0.203	0.089
慾望	黃金	運用	金錢	0.547	0.38	0.369	0.33	0.198	0.102	0.232
萬能	生活	台幣	金錢	0.534	0.346	0.262	0.298	0.118	0.149	0.105
利益	儲蓄	台幣	金錢	0.527	0.354	0.39	0.298	0.219	0.089	0.208
利益	黃金	運用	金錢	0.512	0.354	0.369	0.33	0.15	0.159	0.232
萬能	慾望	投資	金錢	0.51	0.346	0.38	0.381	0.162	0.243	0.192
買賣	生活	台幣	金錢	0.509	0.398	0.262	0.298	0.18	0.163	0.105
萬能	價值	富翁	金錢	0.5	0.346	0.464	0.329	0.236	0.184	0.219
富翁	台幣	運用	金錢	0.493	0.329	0.298	0.33	0.219	0.061	0.184
罪惡	台幣	運用	金錢	0.491	0.434	0.298	0.33	0.187	0.2	0.184
罪惡	生活	台幣	金錢	0.49	0.434	0.262	0.298	0.212	0.187	0.105
現實	交易	台幣	金錢	0.466	0.409	0.324	0.298	0.211	0.234	0.12
交易	台幣	運用	金錢	0.453	0.324	0.298	0.33	0.12	0.195	0.184
罪惡	富翁	台幣	金錢	0.446	0.434	0.329	0.298	0.208	0.187	0.219
物質	富翁	台幣	金錢	0.436	0.481	0.329	0.298	0.224	0.228	0.219
買賣	富翁	台幣	金錢	0.425	0.398	0.329	0.298	0.216	0.163	0.219
萬能	富翁	台幣	金錢	0.42	0.346	0.329	0.298	0.184	0.149	0.219
罪惡	投資	生活	金錢	0.414	0.434	0.381	0.262	0.208	0.212	0.244
萬能	投資	生活	金錢	0.385	0.346	0.381	0.262	0.243	0.118	0.244
生活	黃金	運用	金錢	0.382	0.262	0.369	0.33	0.103	0.245	0.232
罪惡	生活	運用	金錢	0.37	0.434	0.262	0.33	0.212	0.2	0.245
購物	富翁	台幣	金錢	0.358	0.35	0.329	0.298	0.196	0.203	0.219
生活	台幣	運用	金錢	0.356	0.262	0.298	0.33	0.105	0.245	0.184
