				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
手指	老師	酒吧	鋼琴	0.482	0.29	0.424	0.318	0.221	0.227	0.102
手指	貓	曲調	鋼琴	0.467	0.29	0.298	0.441	0.183	0.195	0.183
優雅	音符	美女	鋼琴	0.438	0.401	0.412	0.262	0.2	0.238	0.198
美女	貓	曲調	鋼琴	0.436	0.262	0.298	0.441	0.223	0.158	0.183
氣質	手指	酒吧	鋼琴	0.432	0.342	0.29	0.318	0.068	0.224	0.227
手指	悅耳	貓	鋼琴	0.425	0.29	0.404	0.298	0.181	0.183	0.203
優美	手指	貓	鋼琴	0.416	0.363	0.29	0.298	0.168	0.183	0.183
練習	美女	貓	鋼琴	0.414	0.431	0.262	0.298	0.151	0.201	0.223
手指	練習	酒吧	鋼琴	0.396	0.29	0.431	0.318	0.241	0.227	0.175
手指	練習	貓	鋼琴	0.393	0.29	0.431	0.298	0.241	0.183	0.201
手指	酒吧	曲調	鋼琴	0.387	0.29	0.318	0.441	0.227	0.195	0.24
手指	悅耳	酒吧	鋼琴	0.369	0.29	0.404	0.318	0.181	0.227	0.235
優美	手指	酒吧	鋼琴	0.368	0.363	0.29	0.318	0.168	0.208	0.227
音符	美女	貓	鋼琴	0.364	0.412	0.262	0.298	0.198	0.187	0.223
美女	貓	節奏	鋼琴	0.355	0.262	0.298	0.417	0.223	0.151	0.247
手指	酒吧	節奏	鋼琴	0.354	0.29	0.318	0.417	0.227	0.238	0.206
手指	貓	節奏	鋼琴	0.336	0.29	0.298	0.417	0.183	0.238	0.247
手指	酒吧	聲音	鋼琴	0.331	0.29	0.318	0.347	0.227	0.194	0.203
悅耳	美女	貓	鋼琴	0.328	0.404	0.262	0.298	0.209	0.203	0.223
優美	美女	貓	鋼琴	0.292	0.363	0.262	0.298	0.224	0.183	0.223
