				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
反射	梳子	臉	鏡子	0.814	0.409	0.426	0.442	0.187	0.114	0.162
自我	梳頭	圓形	鏡子	0.79	0.268	0.462	0.395	0.135	0.064	0.137
反射	美麗	梳子	鏡子	0.745	0.409	0.431	0.426	0.143	0.187	0.19
自我	梳子	臉	鏡子	0.733	0.268	0.426	0.442	0.162	0.079	0.162
反射	梳頭	圓形	鏡子	0.728	0.409	0.462	0.395	0.23	0.171	0.137
影像	梳頭	圓形	鏡子	0.725	0.262	0.462	0.395	0.115	0.143	0.137
自我	玻璃	臉	鏡子	0.72	0.268	0.418	0.442	0.161	0.079	0.167
反射	儀容	豬八戒	鏡子	0.707	0.409	0.419	0.305	0.181	0.065	0.18
自我	玻璃	梳頭	鏡子	0.705	0.268	0.418	0.462	0.161	0.135	0.147
影像	梳子	臉	鏡子	0.698	0.262	0.426	0.442	0.157	0.114	0.162
反射	自我	臉	鏡子	0.692	0.409	0.268	0.442	0.234	0.114	0.079
反射	豬八戒	圓形	鏡子	0.689	0.409	0.305	0.395	0.065	0.171	0.185
反射	梳子	圓形	鏡子	0.679	0.409	0.426	0.395	0.187	0.171	0.193
反射	儀容	圓形	鏡子	0.671	0.409	0.419	0.395	0.181	0.171	0.2
自我	梳子	圓形	鏡子	0.67	0.268	0.426	0.395	0.162	0.064	0.193
反射	梳子	豬八戒	鏡子	0.668	0.409	0.426	0.305	0.187	0.065	0.22
梳頭	光亮	圓形	鏡子	0.663	0.462	0.365	0.395	0.207	0.137	0.215
反射	巫婆	臉	鏡子	0.662	0.409	0.288	0.442	0.149	0.114	0.214
梳子	光亮	臉	鏡子	0.646	0.426	0.365	0.442	0.239	0.162	0.185
自我	光亮	臉	鏡子	0.646	0.268	0.365	0.442	0.164	0.079	0.185
反射	女人	圓形	鏡子	0.645	0.409	0.32	0.395	0.164	0.171	0.145
反射	巫婆	儀容	鏡子	0.645	0.409	0.288	0.419	0.149	0.181	0.141
玻璃	儀容	豬八戒	鏡子	0.643	0.418	0.419	0.305	0.189	0.13	0.18
自我	美麗	梳子	鏡子	0.635	0.268	0.431	0.426	0.138	0.162	0.19
光亮	儀容	豬八戒	鏡子	0.626	0.365	0.419	0.305	0.208	0.075	0.18
反射	巫婆	圓形	鏡子	0.617	0.409	0.288	0.395	0.149	0.171	0.155
反射	打扮	圓形	鏡子	0.616	0.409	0.262	0.395	0.183	0.171	0.096
反射	臉	打扮	鏡子	0.611	0.409	0.442	0.262	0.114	0.183	0.205
反射	美麗	衣服	鏡子	0.609	0.409	0.431	0.306	0.143	0.209	0.185
自我	美麗	玻璃	鏡子	0.606	0.268	0.431	0.418	0.138	0.161	0.211
巫婆	儀容	圓形	鏡子	0.606	0.288	0.419	0.395	0.141	0.155	0.2
