				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
安全帶	專心	撞人	開車	0.793	0.477	0.366	0.421	0.188	0.204	0.079
安全帶	專注	撞人	開車	0.763	0.477	0.287	0.421	0.172	0.204	0.045
技術	賓士	回家	開車	0.731	0.327	0.357	0.407	0.109	0.062	0.187
安全帶	專注	回家	開車	0.727	0.477	0.287	0.407	0.172	0.209	0.063
安全帶	專注	上路	開車	0.712	0.477	0.287	0.404	0.172	0.22	0.064
安全帶	專心	上路	開車	0.71	0.477	0.366	0.404	0.188	0.22	0.13
技術	賓士	上路	開車	0.71	0.327	0.357	0.404	0.109	0.053	0.215
喝酒	安全帶	專注	開車	0.693	0.401	0.477	0.287	0.206	0.093	0.172
喝酒	技術	賓士	開車	0.691	0.401	0.327	0.357	0.094	0.19	0.109
技術	賓士	出遊	開車	0.681	0.327	0.357	0.398	0.109	0.15	0.142
專心	撞人	汽車	開車	0.68	0.366	0.421	0.464	0.079	0.244	0.249
賓士	專注	出遊	開車	0.676	0.357	0.287	0.398	0.125	0.142	0.099
賓士	專注	回家	開車	0.675	0.357	0.287	0.407	0.125	0.187	0.063
小心	技術	賓士	開車	0.672	0.264	0.327	0.357	0.051	0.115	0.109
喝酒	安全帶	專心	開車	0.657	0.401	0.477	0.366	0.206	0.193	0.188
小心	技術	接送	開車	0.646	0.264	0.327	0.396	0.051	0.188	0.102
賓士	專注	上路	開車	0.643	0.357	0.287	0.404	0.125	0.215	0.064
賓士	專心	出遊	開車	0.642	0.357	0.366	0.398	0.174	0.142	0.164
安全帶	專心	接送	開車	0.64	0.477	0.366	0.396	0.188	0.239	0.171
喝酒	賓士	專注	開車	0.636	0.401	0.357	0.287	0.19	0.093	0.125
賓士	危險	回家	開車	0.635	0.357	0.415	0.407	0.16	0.187	0.197
賓士	危險	出遊	開車	0.634	0.357	0.415	0.398	0.16	0.142	0.234
小心	接送	汽車	開車	0.634	0.264	0.396	0.464	0.188	0.071	0.232
喝酒	專心	汽車	開車	0.63	0.401	0.366	0.464	0.193	0.165	0.244
交通	專注	回家	開車	0.622	0.301	0.287	0.407	0.086	0.225	0.063
安全帶	專注	接送	開車	0.613	0.477	0.287	0.396	0.172	0.239	0.134
安全帶	專心	回家	開車	0.612	0.477	0.366	0.407	0.188	0.209	0.241
專心	上路	汽車	開車	0.611	0.366	0.404	0.464	0.13	0.244	0.25
喝酒	賓士	危險	開車	0.609	0.401	0.357	0.415	0.19	0.214	0.16
賓士	專心	上路	開車	0.608	0.357	0.366	0.404	0.174	0.215	0.13
賓士	危險	上路	開車	0.601	0.357	0.415	0.404	0.16	0.215	0.199
喝酒	交通	專心	開車	0.596	0.401	0.301	0.366	0.221	0.193	0.058
喝酒	交通	專注	開車	0.589	0.401	0.301	0.287	0.221	0.093	0.086
專注	撞人	爸爸	開車	0.585	0.287	0.421	0.258	0.045	0.119	0.217
技術	賓士	爸爸	開車	0.585	0.327	0.357	0.258	0.109	0.084	0.164
專心	接送	汽車	開車	0.579	0.366	0.396	0.464	0.171	0.244	0.232
小心	出遊	汽車	開車	0.577	0.264	0.398	0.464	0.231	0.071	0.248
專心	回家	汽車	開車	0.574	0.366	0.407	0.464	0.241	0.244	0.178
