				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
刺眼	開朗	加州	陽光	0.77	0.41	0.468	0.276	0.208	0.143	0.033
開朗	加州	熱	陽光	0.768	0.468	0.276	0.344	0.033	0.211	0.076
刺眼	空氣	開朗	陽光	0.714	0.41	0.434	0.468	0.164	0.208	0.227
空氣	開朗	加州	陽光	0.711	0.434	0.468	0.276	0.227	0.207	0.033
空氣	彩虹	開朗	陽光	0.705	0.434	0.324	0.468	0.096	0.227	0.198
刺眼	白雲	熱情	陽光	0.7	0.41	0.364	0.391	0.143	0.202	0.121
大地	開朗	熱	陽光	0.7	0.271	0.468	0.344	0.051	0.122	0.211
朝氣	加州	白雲	陽光	0.689	0.482	0.276	0.364	0.084	0.188	0.161
刺眼	大地	開朗	陽光	0.688	0.41	0.271	0.468	0.203	0.208	0.051
空氣	月光	開朗	陽光	0.687	0.434	0.388	0.468	0.228	0.227	0.148
光明	開朗	加州	陽光	0.675	0.375	0.468	0.276	0.249	0.161	0.033
加州	光亮	熱	陽光	0.672	0.276	0.305	0.344	0.054	0.076	0.123
光明	海灘	小雨	陽光	0.672	0.375	0.48	0.256	0.116	0.114	0.209
亮麗	少年	普照	陽光	0.668	0.372	0.282	0.474	0.067	0.173	0.221
加州	白雲	熱情	陽光	0.662	0.276	0.364	0.391	0.161	0.087	0.121
亮麗	加州	普照	陽光	0.659	0.372	0.276	0.474	0.057	0.173	0.233
活力	熱	白雲	陽光	0.654	0.324	0.344	0.364	0.14	0.074	0.164
空氣	少年	普照	陽光	0.654	0.434	0.282	0.474	0.141	0.175	0.221
加州	熱	普照	陽光	0.651	0.276	0.344	0.474	0.076	0.233	0.134
光明	加州	熱	陽光	0.649	0.375	0.276	0.344	0.161	0.108	0.076
亮麗	熱	普照	陽光	0.648	0.372	0.344	0.474	0.236	0.173	0.134
刺眼	加州	熱情	陽光	0.644	0.41	0.276	0.391	0.143	0.202	0.087
刺眼	活力	白雲	陽光	0.643	0.41	0.324	0.364	0.238	0.143	0.074
和煦	彩虹	海灘	陽光	0.643	0.496	0.324	0.48	0.237	0.171	0.249
刺眼	海灘	小雨	陽光	0.642	0.41	0.48	0.256	0.156	0.138	0.209
和煦	加州	熱	陽光	0.641	0.496	0.276	0.344	0.247	0.152	0.076
月光	開朗	熱	陽光	0.639	0.388	0.468	0.344	0.148	0.203	0.211
少年	熱	普照	陽光	0.637	0.282	0.344	0.474	0.109	0.221	0.134
光明	少年	海灘	陽光	0.637	0.375	0.282	0.48	0.185	0.116	0.199
加州	光亮	熱情	陽光	0.637	0.276	0.305	0.391	0.054	0.087	0.194
空氣	耀眼	開朗	陽光	0.636	0.434	0.335	0.468	0.134	0.227	0.24
刺眼	活力	海灘	陽光	0.636	0.41	0.324	0.48	0.238	0.156	0.184
少年	白雲	熱情	陽光	0.635	0.282	0.364	0.391	0.124	0.158	0.121
刺眼	大地	海灘	陽光	0.633	0.41	0.271	0.48	0.203	0.156	0.169
開朗	加州	天空	陽光	0.63	0.468	0.276	0.302	0.033	0.2	0.184
刺眼	空氣	少年	陽光	0.628	0.41	0.434	0.282	0.164	0.194	0.141
加州	熱情	普照	陽光	0.626	0.276	0.391	0.474	0.087	0.233	0.194
月亮	空氣	開朗	陽光	0.626	0.282	0.434	0.468	0.157	0.175	0.227
刺眼	少年	海灘	陽光	0.624	0.41	0.282	0.48	0.194	0.156	0.199
亮麗	加州	熱	陽光	0.623	0.372	0.276	0.344	0.057	0.236	0.076
月亮	開朗	加州	陽光	0.622	0.282	0.468	0.276	0.175	0.196	0.033
空氣	光明	開朗	陽光	0.621	0.434	0.375	0.468	0.18	0.227	0.249
光明	開朗	熱	陽光	0.62	0.375	0.468	0.344	0.249	0.108	0.211
和煦	彩虹	熱	陽光	0.618	0.496	0.324	0.344	0.237	0.152	0.157
少年	海灘	普照	陽光	0.618	0.282	0.48	0.474	0.199	0.221	0.198
光明	加州	熱情	陽光	0.617	0.375	0.276	0.391	0.161	0.177	0.087
刺眼	熱	白雲	陽光	0.615	0.41	0.344	0.364	0.197	0.143	0.164
耀眼	開朗	加州	陽光	0.615	0.335	0.468	0.276	0.24	0.191	0.033
刺眼	加州	熱	陽光	0.613	0.41	0.276	0.344	0.143	0.197	0.076
明亮	加州	熱	陽光	0.61	0.353	0.276	0.344	0.151	0.135	0.076
刺眼	開朗	熱	陽光	0.607	0.41	0.468	0.344	0.208	0.197	0.211
彩虹	朝氣	加州	陽光	0.606	0.324	0.482	0.276	0.143	0.249	0.084
刺眼	空氣	加州	陽光	0.606	0.41	0.434	0.276	0.164	0.143	0.207
刺眼	加州	白雲	陽光	0.603	0.41	0.276	0.364	0.143	0.143	0.161
光明	少年	熱	陽光	0.6	0.375	0.282	0.344	0.185	0.108	0.109
開朗	加州	小雨	陽光	0.597	0.468	0.276	0.256	0.033	0.197	0.173
刺眼	少年	白雲	陽光	0.597	0.41	0.282	0.364	0.194	0.143	0.124
月亮	朝氣	加州	陽光	0.597	0.282	0.482	0.276	0.163	0.196	0.084
少年	熱	白雲	陽光	0.594	0.282	0.344	0.364	0.109	0.124	0.164
刺眼	開朗	小雨	陽光	0.592	0.41	0.468	0.256	0.208	0.138	0.197
空氣	加州	光亮	陽光	0.59	0.434	0.276	0.305	0.207	0.164	0.054
亮麗	小雨	普照	陽光	0.589	0.372	0.256	0.474	0.109	0.173	0.231
彩虹	開朗	加州	陽光	0.587	0.324	0.468	0.276	0.198	0.249	0.033
亮麗	少年	熱	陽光	0.586	0.372	0.282	0.344	0.067	0.236	0.109
空氣	光明	少年	陽光	0.585	0.434	0.375	0.282	0.18	0.141	0.185
和煦	月亮	熱	陽光	0.585	0.496	0.282	0.344	0.244	0.152	0.143
加州	熱	白雲	陽光	0.583	0.276	0.344	0.364	0.076	0.161	0.164
光明	小雨	熱情	陽光	0.579	0.375	0.256	0.391	0.114	0.177	0.154
光明	熱	小雨	陽光	0.578	0.375	0.344	0.256	0.108	0.114	0.176
朝氣	加州	天空	陽光	0.577	0.482	0.276	0.302	0.084	0.215	0.184
少年	熱情	普照	陽光	0.574	0.282	0.391	0.474	0.158	0.221	0.194
朝氣	加州	小雨	陽光	0.574	0.482	0.276	0.256	0.084	0.183	0.173
空氣	彩虹	少年	陽光	0.573	0.434	0.324	0.282	0.096	0.141	0.23
刺眼	空氣	小雨	陽光	0.572	0.41	0.434	0.256	0.164	0.138	0.226
海灘	小雨	普照	陽光	0.571	0.48	0.256	0.474	0.209	0.198	0.231
亮麗	加州	少年	陽光	0.571	0.372	0.276	0.282	0.057	0.067	0.235
彩虹	開朗	熱	陽光	0.57	0.324	0.468	0.344	0.198	0.157	0.211
光明	亮麗	加州	陽光	0.57	0.375	0.372	0.276	0.235	0.161	0.057
大地	彩虹	開朗	陽光	0.57	0.271	0.324	0.468	0.244	0.051	0.198
空氣	加州	普照	陽光	0.569	0.434	0.276	0.474	0.207	0.175	0.233
月亮	開朗	熱	陽光	0.567	0.282	0.468	0.344	0.175	0.143	0.211
亮麗	加州	小雨	陽光	0.566	0.372	0.276	0.256	0.057	0.109	0.173
活力	加州	白雲	陽光	0.566	0.324	0.276	0.364	0.163	0.074	0.161
活力	加州	熱	陽光	0.565	0.324	0.276	0.344	0.163	0.14	0.076
刺眼	空氣	活力	陽光	0.565	0.41	0.434	0.324	0.164	0.238	0.202
刺眼	小雨	熱情	陽光	0.564	0.41	0.256	0.391	0.138	0.202	0.154
刺眼	月亮	空氣	陽光	0.559	0.41	0.282	0.434	0.247	0.164	0.157
空氣	月光	活力	陽光	0.557	0.434	0.388	0.324	0.228	0.202	0.159
光亮	白雲	熱情	陽光	0.557	0.305	0.364	0.391	0.189	0.194	0.121
開朗	熱	天空	陽光	0.557	0.468	0.344	0.302	0.211	0.2	0.148
月光	活力	熱	陽光	0.554	0.388	0.324	0.344	0.159	0.203	0.14
加州	天空	熱情	陽光	0.55	0.276	0.302	0.391	0.184	0.087	0.148
少年	海灘	光亮	陽光	0.549	0.282	0.48	0.305	0.199	0.171	0.148
活力	少年	白雲	陽光	0.547	0.324	0.282	0.364	0.225	0.074	0.124
光明	亮麗	小雨	陽光	0.547	0.375	0.372	0.256	0.235	0.114	0.109
