				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
展覽	大理石	塑造	雕塑	0.771	0.457	0.458	0.388	0.219	0.16	0.154
美術	大理石	塑造	雕塑	0.769	0.441	0.458	0.388	0.217	0.149	0.154
石膏	身材	展覽	雕塑	0.768	0.436	0.375	0.457	0.194	0.149	0.156
公園	大理石	塑造	雕塑	0.767	0.39	0.458	0.388	0.195	0.121	0.154
泥土	展覽	塑身	雕塑	0.764	0.357	0.457	0.461	0.156	0.14	0.214
石膏	公園	美感	雕塑	0.753	0.436	0.39	0.391	0.139	0.208	0.118
石膏	展覽	塑身	雕塑	0.746	0.436	0.457	0.461	0.149	0.244	0.214
石膏	公園	塑身	雕塑	0.744	0.436	0.39	0.461	0.139	0.244	0.161
作品	木頭	塑身	雕塑	0.743	0.469	0.302	0.461	0.148	0.238	0.103
石膏	展覽	塑造	雕塑	0.733	0.436	0.457	0.388	0.149	0.239	0.16
美術	泥土	塑身	雕塑	0.726	0.441	0.357	0.461	0.191	0.202	0.14
作品	石膏	公園	雕塑	0.723	0.469	0.436	0.39	0.234	0.199	0.139
作品	公園	塑身	雕塑	0.723	0.469	0.39	0.461	0.199	0.238	0.161
泥土	身材	展覽	雕塑	0.723	0.357	0.375	0.457	0.154	0.156	0.156
石膏	公園	塑造	雕塑	0.715	0.436	0.39	0.388	0.139	0.239	0.121
木頭	形象	塑身	雕塑	0.713	0.302	0.413	0.461	0.111	0.103	0.248
泥土	羅丹	塑身	雕塑	0.713	0.357	0.376	0.461	0.148	0.14	0.193
作品	公園	大理石	雕塑	0.711	0.469	0.39	0.458	0.199	0.212	0.195
身材	展覽	大理石	雕塑	0.71	0.375	0.457	0.458	0.156	0.206	0.219
公園	形象	大理石	雕塑	0.693	0.39	0.413	0.458	0.185	0.195	0.188
泥土	公園	塑身	雕塑	0.693	0.357	0.39	0.461	0.215	0.14	0.161
石膏	展覽	美感	雕塑	0.691	0.436	0.457	0.391	0.149	0.208	0.236
公園	羅丹	塑造	雕塑	0.688	0.39	0.376	0.388	0.244	0.121	0.1
形象	羅丹	塑身	雕塑	0.682	0.413	0.376	0.461	0.126	0.248	0.193
石膏	身材	公園	雕塑	0.682	0.436	0.375	0.39	0.194	0.139	0.187
泥土	身材	羅丹	雕塑	0.676	0.357	0.375	0.376	0.154	0.148	0.13
公園	形象	塑身	雕塑	0.67	0.39	0.413	0.461	0.185	0.161	0.248
美術	形象	大理石	雕塑	0.666	0.441	0.413	0.458	0.242	0.217	0.188
美術	身材	大理石	雕塑	0.665	0.441	0.375	0.458	0.187	0.217	0.206
作品	泥土	塑身	雕塑	0.663	0.469	0.357	0.461	0.246	0.238	0.14
泥土	形象	羅丹	雕塑	0.659	0.357	0.413	0.376	0.213	0.148	0.126
美術	木頭	塑身	雕塑	0.658	0.441	0.302	0.461	0.241	0.202	0.103
作品	石膏	塑身	雕塑	0.65	0.469	0.436	0.461	0.234	0.238	0.244
美術	木頭	塑造	雕塑	0.65	0.441	0.302	0.388	0.241	0.149	0.091
泥土	展覽	塑造	雕塑	0.649	0.357	0.457	0.388	0.156	0.237	0.16
美術	泥土	身材	雕塑	0.641	0.441	0.357	0.375	0.191	0.187	0.154
泥土	羅丹	塑造	雕塑	0.636	0.357	0.376	0.388	0.148	0.237	0.1
身材	公園	大理石	雕塑	0.636	0.375	0.39	0.458	0.187	0.206	0.195
人體	大理石	塑造	雕塑	0.63	0.334	0.458	0.388	0.239	0.159	0.154
泥土	形象	塑身	雕塑	0.63	0.357	0.413	0.461	0.213	0.14	0.248
公園	羅丹	塑身	雕塑	0.629	0.39	0.376	0.461	0.244	0.161	0.193
公園	形象	羅丹	雕塑	0.623	0.39	0.413	0.376	0.185	0.244	0.126
美術	形象	塑身	雕塑	0.623	0.441	0.413	0.461	0.242	0.202	0.248
