				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
報導	漫畫	書局	雜誌	0.615	0.443	0.385	0.378	0.164	0.226	0.201
八卦	服裝	書局	雜誌	0.574	0.297	0.386	0.378	0.153	0.107	0.225
報導	服裝	書局	雜誌	0.527	0.443	0.386	0.378	0.228	0.226	0.225
八卦	漫畫	書局	雜誌	0.517	0.297	0.385	0.378	0.235	0.107	0.201
休閒	報導	書局	雜誌	0.512	0.357	0.443	0.378	0.233	0.207	0.226
八卦	休閒	書局	雜誌	0.477	0.297	0.357	0.378	0.241	0.107	0.207
八卦	隨便	書局	雜誌	0.439	0.297	0.3	0.378	0.203	0.107	0.226
隨便	漫畫	書局	雜誌	0.397	0.3	0.385	0.378	0.239	0.226	0.201
服裝	無聊	書局	雜誌	0.393	0.386	0.325	0.378	0.241	0.225	0.23
八卦	隨便	漫畫	雜誌	0.304	0.297	0.3	0.385	0.203	0.235	0.239
