				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
自動	牙刷	機車	電動	0.674	0.421	0.459	0.29	0.152	0.193	0.151
自動	牙刷	遊樂器	電動	0.673	0.421	0.459	0.289	0.152	0.119	0.224
自動	牙刷	取締	電動	0.671	0.421	0.459	0.274	0.152	0.233	0.098
牙刷	人工	機車	電動	0.659	0.459	0.257	0.29	0.173	0.151	0.022
牙刷	遊樂器	取締	電動	0.625	0.459	0.289	0.274	0.224	0.098	0.074
自動	牙刷	娛樂	電動	0.623	0.421	0.459	0.32	0.152	0.235	0.19
牙刷	機械	取締	電動	0.622	0.459	0.413	0.274	0.236	0.098	0.19
牙刷	機車	取締	電動	0.608	0.459	0.29	0.274	0.151	0.098	0.165
玩具	自動	取締	電動	0.572	0.383	0.421	0.274	0.121	0.151	0.233
科技	電梯	取締	電動	0.572	0.292	0.385	0.274	0.198	0.057	0.125
玩具	自動	機車	電動	0.567	0.383	0.421	0.29	0.121	0.213	0.193
自動	牙刷	電視	電動	0.563	0.421	0.459	0.326	0.152	0.246	0.245
自動	遊樂器	取締	電動	0.557	0.421	0.289	0.274	0.119	0.233	0.074
牙刷	人工	取締	電動	0.546	0.459	0.257	0.274	0.173	0.098	0.173
機械	取締	小孩	電動	0.537	0.413	0.274	0.256	0.19	0.115	0.101
電腦	牙刷	取締	電動	0.533	0.301	0.459	0.274	0.22	0.182	0.098
自動	科技	取締	電動	0.531	0.421	0.292	0.274	0.165	0.233	0.057
玩具	電梯	取締	電動	0.524	0.383	0.385	0.274	0.241	0.151	0.125
自動	科技	機車	電動	0.521	0.421	0.292	0.29	0.165	0.193	0.124
牙刷	娛樂	取締	電動	0.517	0.459	0.32	0.274	0.19	0.098	0.248
牙刷	電視	取締	電動	0.516	0.459	0.326	0.274	0.245	0.098	0.199
玩具	人工	機車	電動	0.515	0.383	0.257	0.29	0.179	0.213	0.022
自動	遊樂器	機車	電動	0.514	0.421	0.289	0.29	0.119	0.193	0.174
科技	機車	取締	電動	0.51	0.292	0.29	0.274	0.124	0.057	0.165
科技	取締	小孩	電動	0.51	0.292	0.274	0.256	0.057	0.154	0.101
自動	科技	小孩	電動	0.508	0.421	0.292	0.256	0.165	0.141	0.154
牙刷	人工	娛樂	電動	0.505	0.459	0.257	0.32	0.173	0.19	0.168
自動	機車	小孩	電動	0.504	0.421	0.29	0.256	0.193	0.141	0.129
牙刷	娛樂	機車	電動	0.501	0.459	0.32	0.29	0.19	0.151	0.226
科技	遊樂器	取締	電動	0.492	0.292	0.289	0.274	0.231	0.057	0.074
牙刷	遊樂器	機車	電動	0.487	0.459	0.289	0.29	0.224	0.151	0.174
遊樂器	人工	機車	電動	0.487	0.289	0.257	0.29	0.152	0.174	0.022
自動	科技	遊樂器	電動	0.486	0.421	0.292	0.289	0.165	0.119	0.231
自動	取締	小孩	電動	0.475	0.421	0.274	0.256	0.233	0.141	0.101
遊戲	牙刷	人工	電動	0.472	0.287	0.459	0.257	0.194	0.164	0.173
人工	電梯	取締	電動	0.47	0.257	0.385	0.274	0.147	0.173	0.125
遊樂器	機械	取締	電動	0.463	0.289	0.413	0.274	0.248	0.074	0.19
人工	機車	取締	電動	0.46	0.257	0.29	0.274	0.022	0.173	0.165
自動	遊樂器	小孩	電動	0.459	0.421	0.289	0.256	0.119	0.141	0.247
玩具	人工	電梯	電動	0.458	0.383	0.257	0.385	0.179	0.241	0.147
牙刷	遊樂器	人工	電動	0.456	0.459	0.289	0.257	0.224	0.173	0.152
牙刷	遊樂器	機械	電動	0.453	0.459	0.289	0.413	0.224	0.236	0.248
人工	娛樂	機車	電動	0.45	0.257	0.32	0.29	0.168	0.022	0.226
科技	兒童	取締	電動	0.443	0.292	0.38	0.274	0.222	0.057	0.224
遊樂器	機車	取締	電動	0.439	0.289	0.29	0.274	0.174	0.074	0.165
科技	機車	小孩	電動	0.431	0.292	0.29	0.256	0.124	0.154	0.129
機車	取締	小孩	電動	0.425	0.29	0.274	0.256	0.165	0.129	0.101
遊樂器	人工	取締	電動	0.42	0.289	0.257	0.274	0.152	0.074	0.173
玩具	機車	取締	電動	0.417	0.383	0.29	0.274	0.213	0.151	0.165
自動	娛樂	小孩	電動	0.414	0.421	0.32	0.256	0.235	0.141	0.207
牙刷	人工	電視	電動	0.412	0.459	0.257	0.326	0.173	0.245	0.212
玩具	人工	取締	電動	0.41	0.383	0.257	0.274	0.179	0.151	0.173
遊樂器	兒童	取締	電動	0.405	0.289	0.38	0.274	0.239	0.074	0.224
遊樂器	取締	小孩	電動	0.396	0.289	0.274	0.256	0.074	0.247	0.101
自動	機車	取締	電動	0.394	0.421	0.29	0.274	0.193	0.233	0.165
自動	娛樂	機車	電動	0.376	0.421	0.32	0.29	0.235	0.193	0.226
遊樂器	人工	兒童	電動	0.353	0.289	0.257	0.38	0.152	0.239	0.182
遊樂器	機械	小孩	電動	0.349	0.289	0.413	0.256	0.248	0.247	0.115
自動	電視	取締	電動	0.342	0.421	0.326	0.274	0.246	0.233	0.199
科技	遊樂器	機車	電動	0.341	0.292	0.289	0.29	0.231	0.124	0.174
人工	兒童	取締	電動	0.331	0.257	0.38	0.274	0.182	0.173	0.224
科技	機器	小孩	電動	0.315	0.292	0.354	0.256	0.214	0.154	0.219
電腦	取締	小孩	電動	0.306	0.301	0.274	0.256	0.182	0.24	0.101
娛樂	機車	小孩	電動	0.303	0.32	0.29	0.256	0.226	0.207	0.129
自動	娛樂	取締	電動	0.299	0.421	0.32	0.274	0.235	0.233	0.248
娛樂	取締	小孩	電動	0.294	0.32	0.274	0.256	0.248	0.207	0.101
遊樂器	機車	小孩	電動	0.284	0.289	0.29	0.256	0.174	0.247	0.129
人工	電視	取締	電動	0.272	0.257	0.326	0.274	0.212	0.173	0.199
科技	遊樂器	兒童	電動	0.269	0.292	0.289	0.38	0.231	0.222	0.239
人工	娛樂	取締	電動	0.262	0.257	0.32	0.274	0.168	0.173	0.248
娛樂	機車	取締	電動	0.244	0.32	0.29	0.274	0.226	0.248	0.165
科技	遊樂器	小孩	電動	0.205	0.292	0.289	0.256	0.231	0.154	0.247
