				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
人腦	麻煩	光碟	電腦	0.758	0.492	0.293	0.34	0.09	0.167	0.11
科技	動畫	當機	電腦	0.724	0.348	0.443	0.336	0.218	0.067	0.118
人腦	光碟	報告	電腦	0.718	0.492	0.34	0.3	0.167	0.143	0.104
先進	病毒	螢幕	電腦	0.715	0.339	0.413	0.449	0.172	0.173	0.141
作業	人腦	光碟	電腦	0.7	0.364	0.492	0.34	0.182	0.147	0.167
網路	先進	打字	電腦	0.699	0.444	0.339	0.468	0.233	0.208	0.11
打字	動畫	當機	電腦	0.695	0.468	0.443	0.336	0.227	0.208	0.118
作業	印表機	病毒	電腦	0.693	0.364	0.456	0.413	0.188	0.127	0.225
軟體	先進	打字	電腦	0.678	0.429	0.339	0.468	0.243	0.205	0.11
程式	人腦	麻煩	電腦	0.674	0.321	0.492	0.293	0.194	0.147	0.09
先進	打字	動畫	電腦	0.667	0.339	0.468	0.443	0.11	0.246	0.227
打字	磁片	報告	電腦	0.667	0.468	0.315	0.3	0.243	0.114	0.058
先進	打字	當機	電腦	0.664	0.339	0.468	0.336	0.11	0.161	0.208
資訊	軟體	打字	電腦	0.663	0.336	0.429	0.468	0.246	0.118	0.205
病毒	報告	螢幕	電腦	0.659	0.413	0.3	0.449	0.161	0.141	0.202
科技	作業	印表機	電腦	0.655	0.348	0.364	0.456	0.124	0.201	0.188
科技	麻煩	螢幕	電腦	0.655	0.348	0.293	0.449	0.053	0.19	0.192
網路	打字	報告	電腦	0.655	0.444	0.468	0.3	0.208	0.235	0.114
資訊	打字	當機	電腦	0.65	0.336	0.468	0.336	0.118	0.164	0.208
印表機	病毒	報告	電腦	0.648	0.456	0.413	0.3	0.225	0.136	0.161
電動	病毒	螢幕	電腦	0.646	0.301	0.413	0.449	0.187	0.189	0.141
程式	人腦	報告	電腦	0.645	0.321	0.492	0.3	0.194	0.131	0.143
科技	印表機	報告	電腦	0.643	0.348	0.456	0.3	0.201	0.125	0.136
科技	打字	當機	電腦	0.641	0.348	0.468	0.336	0.236	0.067	0.208
科技	打字	報告	電腦	0.641	0.348	0.468	0.3	0.236	0.125	0.114
病毒	麻煩	螢幕	電腦	0.64	0.413	0.293	0.449	0.182	0.141	0.192
資訊	病毒	螢幕	電腦	0.64	0.336	0.413	0.449	0.182	0.235	0.141
科技	印表機	麻煩	電腦	0.639	0.348	0.456	0.293	0.201	0.053	0.205
資訊	打字	磁片	電腦	0.639	0.336	0.468	0.315	0.118	0.118	0.243
科技	打字	麻煩	電腦	0.636	0.348	0.468	0.293	0.236	0.053	0.184
動畫	磁片	當機	電腦	0.629	0.443	0.315	0.336	0.183	0.118	0.164
先進	打字	磁片	電腦	0.628	0.339	0.468	0.315	0.11	0.14	0.243
科技	印表機	動畫	電腦	0.625	0.348	0.456	0.443	0.201	0.218	0.203
科技	打字	作業	電腦	0.618	0.348	0.468	0.364	0.236	0.124	0.201
軟體	打字	麻煩	電腦	0.618	0.429	0.468	0.293	0.205	0.183	0.184
科技	作業	當機	電腦	0.614	0.348	0.364	0.336	0.124	0.067	0.242
資訊	程式	人腦	電腦	0.614	0.336	0.321	0.492	0.146	0.195	0.194
先進	印表機	病毒	電腦	0.609	0.339	0.456	0.413	0.202	0.172	0.225
工具	人腦	麻煩	電腦	0.607	0.272	0.492	0.293	0.164	0.196	0.09
作業	滑鼠	當機	電腦	0.604	0.364	0.356	0.336	0.068	0.242	0.142
資訊	作業	滑鼠	電腦	0.603	0.336	0.364	0.356	0.246	0.139	0.068
資訊	打字	作業	電腦	0.602	0.336	0.468	0.364	0.118	0.246	0.201
工具	人腦	報告	電腦	0.601	0.272	0.492	0.3	0.164	0.155	0.143
資訊	人腦	光碟	電腦	0.599	0.336	0.492	0.34	0.195	0.207	0.167
資訊	印表機	病毒	電腦	0.595	0.336	0.456	0.413	0.203	0.182	0.225
先進	動畫	當機	電腦	0.594	0.339	0.443	0.336	0.246	0.161	0.118
網路	打字	電動	電腦	0.592	0.444	0.468	0.301	0.208	0.213	0.2
網路	打字	磁片	電腦	0.591	0.444	0.468	0.315	0.208	0.184	0.243
人腦	電動	麻煩	電腦	0.59	0.492	0.301	0.293	0.232	0.09	0.174
科技	動畫	麻煩	電腦	0.589	0.348	0.443	0.293	0.218	0.053	0.225
先進	印表機	動畫	電腦	0.587	0.339	0.456	0.443	0.202	0.246	0.203
科技	麻煩	磁片	電腦	0.587	0.348	0.293	0.315	0.053	0.203	0.113
先進	滑鼠	當機	電腦	0.586	0.339	0.356	0.336	0.142	0.161	0.142
程式	作業	人腦	電腦	0.586	0.321	0.364	0.492	0.215	0.194	0.182
先進	光碟	當機	電腦	0.585	0.339	0.34	0.336	0.146	0.161	0.123
資訊	滑鼠	當機	電腦	0.582	0.336	0.356	0.336	0.139	0.164	0.142
網路	磁片	報告	電腦	0.582	0.444	0.315	0.3	0.184	0.235	0.058
科技	報告	螢幕	電腦	0.58	0.348	0.3	0.449	0.125	0.19	0.202
科技	打字	動畫	電腦	0.578	0.348	0.468	0.443	0.236	0.218	0.227
科技	磁片	報告	電腦	0.576	0.348	0.315	0.3	0.203	0.125	0.058
工具	動畫	當機	電腦	0.575	0.272	0.443	0.336	0.234	0.124	0.118
打字	動畫	磁片	電腦	0.572	0.468	0.443	0.315	0.227	0.243	0.183
軟體	打字	當機	電腦	0.572	0.429	0.468	0.336	0.205	0.248	0.208
資訊	作業	人腦	電腦	0.57	0.336	0.364	0.492	0.246	0.195	0.182
打字	動畫	麻煩	電腦	0.568	0.468	0.443	0.293	0.227	0.184	0.225
科技	報告	當機	電腦	0.565	0.348	0.3	0.336	0.125	0.067	0.226
科技	磁片	當機	電腦	0.564	0.348	0.315	0.336	0.203	0.067	0.164
先進	工具	螢幕	電腦	0.561	0.339	0.272	0.449	0.211	0.173	0.115
印表機	動畫	麻煩	電腦	0.56	0.456	0.443	0.293	0.203	0.205	0.225
資訊	作業	病毒	電腦	0.558	0.336	0.364	0.413	0.246	0.182	0.127
網路	先進	病毒	電腦	0.558	0.444	0.339	0.413	0.233	0.233	0.172
打字	報告	當機	電腦	0.556	0.468	0.3	0.336	0.114	0.208	0.226
印表機	病毒	麻煩	電腦	0.551	0.456	0.413	0.293	0.225	0.205	0.182
工具	報告	螢幕	電腦	0.549	0.272	0.3	0.449	0.155	0.115	0.202
資訊	打字	電動	電腦	0.547	0.336	0.468	0.301	0.118	0.239	0.2
先進	病毒	當機	電腦	0.545	0.339	0.413	0.336	0.172	0.161	0.211
資訊	磁片	當機	電腦	0.541	0.336	0.315	0.336	0.118	0.164	0.164
網路	先進	磁片	電腦	0.541	0.444	0.339	0.315	0.233	0.184	0.14
電動	印表機	病毒	電腦	0.54	0.301	0.456	0.413	0.217	0.187	0.225
網路	先進	滑鼠	電腦	0.536	0.444	0.339	0.356	0.233	0.228	0.142
打字	麻煩	磁片	電腦	0.536	0.468	0.293	0.315	0.184	0.243	0.113
作業	病毒	當機	電腦	0.533	0.364	0.413	0.336	0.127	0.242	0.211
打字	作業	磁片	電腦	0.533	0.468	0.364	0.315	0.201	0.243	0.169
打字	電動	當機	電腦	0.53	0.468	0.301	0.336	0.2	0.208	0.167
動畫	麻煩	磁片	電腦	0.53	0.443	0.293	0.315	0.225	0.183	0.113
科技	作業	磁片	電腦	0.529	0.348	0.364	0.315	0.124	0.203	0.169
網路	病毒	報告	電腦	0.528	0.444	0.413	0.3	0.233	0.235	0.161
先進	動畫	磁片	電腦	0.528	0.339	0.443	0.315	0.246	0.14	0.183
資訊	病毒	當機	電腦	0.528	0.336	0.413	0.336	0.182	0.164	0.211
作業	光碟	當機	電腦	0.528	0.364	0.34	0.336	0.147	0.242	0.123
人腦	電動	光碟	電腦	0.528	0.492	0.301	0.34	0.232	0.167	0.206
先進	磁片	當機	電腦	0.526	0.339	0.315	0.336	0.14	0.161	0.164
網路	電動	病毒	電腦	0.525	0.444	0.301	0.413	0.213	0.233	0.187
光碟	報告	當機	電腦	0.523	0.34	0.3	0.336	0.104	0.123	0.226
電動	滑鼠	當機	電腦	0.52	0.301	0.356	0.336	0.164	0.167	0.142
資訊	作業	印表機	電腦	0.52	0.336	0.364	0.456	0.246	0.203	0.188
資訊	光碟	當機	電腦	0.517	0.336	0.34	0.336	0.207	0.164	0.123
打字	作業	當機	電腦	0.517	0.468	0.364	0.336	0.201	0.208	0.242
工具	印表機	報告	電腦	0.513	0.272	0.456	0.3	0.225	0.155	0.136
工具	麻煩	螢幕	電腦	0.511	0.272	0.293	0.449	0.196	0.115	0.192
工具	印表機	動畫	電腦	0.51	0.272	0.456	0.443	0.225	0.234	0.203
打字	電動	麻煩	電腦	0.504	0.468	0.301	0.293	0.2	0.184	0.174
