				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
無聊	兒童	主持人	電視	0.719	0.354	0.471	0.399	0.222	0.134	0.149
資訊	兒童	主持人	電視	0.669	0.374	0.471	0.399	0.242	0.185	0.149
螢幕	兒童	主持人	電視	0.659	0.419	0.471	0.399	0.247	0.233	0.149
無聊	輻射	主持人	電視	0.659	0.354	0.331	0.399	0.204	0.134	0.087
資訊	影集	兒童	電視	0.657	0.374	0.413	0.471	0.121	0.242	0.237
螢幕	卡通	傳播	電視	0.656	0.419	0.383	0.392	0.206	0.15	0.181
螢幕	時間	卡通	電視	0.647	0.419	0.304	0.383	0.245	0.206	0.007
無聊	影集	傳播	電視	0.637	0.354	0.413	0.392	0.149	0.23	0.142
影像	無聊	兒童	電視	0.636	0.332	0.354	0.471	0.111	0.187	0.222
明星	影像	時間	電視	0.631	0.348	0.332	0.304	0.236	0.05	0.067
休閒	螢幕	主持人	電視	0.63	0.391	0.419	0.399	0.16	0.187	0.233
無聊	影集	兒童	電視	0.628	0.354	0.413	0.471	0.149	0.222	0.237
螢幕	明星	傳播	電視	0.621	0.419	0.348	0.392	0.212	0.15	0.176
螢幕	傳播	主持人	電視	0.62	0.419	0.392	0.399	0.15	0.233	0.207
螢幕	無聊	主持人	電視	0.602	0.419	0.354	0.399	0.203	0.233	0.134
資訊	輻射	主持人	電視	0.599	0.374	0.331	0.399	0.233	0.185	0.087
時間	輻射	主持人	電視	0.593	0.304	0.331	0.399	0.204	0.15	0.087
螢幕	輻射	主持人	電視	0.589	0.419	0.331	0.399	0.24	0.233	0.087
資訊	近視	影集	電視	0.586	0.374	0.315	0.413	0.21	0.121	0.185
資訊	輻射	影集	電視	0.585	0.374	0.331	0.413	0.233	0.121	0.179
時間	輻射	卡通	電視	0.582	0.304	0.331	0.383	0.204	0.007	0.225
螢幕	無聊	傳播	電視	0.581	0.419	0.354	0.392	0.203	0.15	0.23
娛樂	螢幕	卡通	電視	0.58	0.479	0.419	0.383	0.248	0.247	0.206
無聊	傳播	主持人	電視	0.574	0.354	0.392	0.399	0.23	0.134	0.207
螢幕	無聊	兒童	電視	0.571	0.419	0.354	0.471	0.203	0.247	0.222
娛樂	螢幕	主持人	電視	0.57	0.479	0.419	0.399	0.248	0.246	0.233
資訊	螢幕	卡通	電視	0.569	0.374	0.419	0.383	0.235	0.165	0.206
明星	無聊	兒童	電視	0.568	0.348	0.354	0.471	0.166	0.216	0.222
無聊	輻射	影集	電視	0.565	0.354	0.331	0.413	0.204	0.149	0.179
螢幕	明星	時間	電視	0.563	0.419	0.348	0.304	0.212	0.245	0.05
螢幕	明星	兒童	電視	0.562	0.419	0.348	0.471	0.212	0.247	0.216
休閒	螢幕	明星	電視	0.559	0.391	0.419	0.348	0.16	0.228	0.212
近視	影集	傳播	電視	0.558	0.315	0.413	0.392	0.185	0.235	0.142
時間	輻射	影集	電視	0.552	0.304	0.331	0.413	0.204	0.113	0.179
時間	近視	卡通	電視	0.544	0.304	0.315	0.383	0.25	0.007	0.201
資訊	近視	主持人	電視	0.54	0.374	0.315	0.399	0.21	0.185	0.153
螢幕	明星	無聊	電視	0.54	0.419	0.348	0.354	0.212	0.203	0.166
資訊	螢幕	兒童	電視	0.539	0.374	0.419	0.471	0.235	0.242	0.247
資訊	螢幕	主持人	電視	0.539	0.374	0.419	0.399	0.235	0.185	0.233
螢幕	無聊	卡通	電視	0.531	0.419	0.354	0.383	0.203	0.206	0.215
資訊	影像	兒童	電視	0.531	0.374	0.332	0.471	0.217	0.242	0.187
明星	無聊	傳播	電視	0.522	0.348	0.354	0.392	0.166	0.176	0.23
明星	影像	無聊	電視	0.521	0.348	0.332	0.354	0.236	0.166	0.111
明星	時間	近視	電視	0.515	0.348	0.304	0.315	0.05	0.153	0.25
明星	影像	兒童	電視	0.512	0.348	0.332	0.471	0.236	0.216	0.187
近視	傳播	主持人	電視	0.511	0.315	0.392	0.399	0.235	0.153	0.207
資訊	明星	兒童	電視	0.507	0.374	0.348	0.471	0.228	0.242	0.216
無聊	卡通	傳播	電視	0.502	0.354	0.383	0.392	0.215	0.23	0.181
資訊	近視	卡通	電視	0.496	0.374	0.315	0.383	0.21	0.165	0.201
螢幕	時間	主持人	電視	0.493	0.419	0.304	0.399	0.245	0.233	0.15
明星	近視	傳播	電視	0.492	0.348	0.315	0.392	0.153	0.176	0.235
時間	近視	影集	電視	0.484	0.304	0.315	0.413	0.25	0.113	0.185
明星	時間	輻射	電視	0.484	0.348	0.304	0.331	0.05	0.245	0.204
影像	無聊	輻射	電視	0.483	0.332	0.354	0.331	0.111	0.219	0.204
休閒	明星	影像	電視	0.482	0.391	0.348	0.332	0.228	0.126	0.236
影像	時間	輻射	電視	0.477	0.332	0.304	0.331	0.067	0.219	0.204
近視	卡通	傳播	電視	0.473	0.315	0.383	0.392	0.201	0.235	0.181
資訊	螢幕	明星	電視	0.466	0.374	0.419	0.348	0.235	0.228	0.212
資訊	輻射	卡通	電視	0.465	0.374	0.331	0.383	0.233	0.165	0.225
時間	近視	主持人	電視	0.465	0.304	0.315	0.399	0.25	0.15	0.153
螢幕	輻射	卡通	電視	0.462	0.419	0.331	0.383	0.24	0.206	0.225
螢幕	無聊	輻射	電視	0.457	0.419	0.354	0.331	0.203	0.24	0.204
資訊	明星	近視	電視	0.447	0.374	0.348	0.315	0.228	0.21	0.153
無聊	輻射	卡通	電視	0.424	0.354	0.331	0.383	0.204	0.215	0.225
明星	無聊	輻射	電視	0.418	0.348	0.354	0.331	0.166	0.245	0.204
資訊	螢幕	輻射	電視	0.416	0.374	0.419	0.331	0.235	0.233	0.24
影像	時間	近視	電視	0.402	0.332	0.304	0.315	0.067	0.232	0.25
螢幕	明星	輻射	電視	0.401	0.419	0.348	0.331	0.212	0.24	0.245
明星	影像	近視	電視	0.376	0.348	0.332	0.315	0.236	0.153	0.232
資訊	明星	影像	電視	0.373	0.374	0.348	0.332	0.228	0.217	0.236
資訊	影像	輻射	電視	0.369	0.374	0.332	0.331	0.217	0.233	0.219
螢幕	時間	輻射	電視	0.365	0.419	0.304	0.331	0.245	0.24	0.204
資訊	影像	近視	電視	0.363	0.374	0.332	0.315	0.217	0.21	0.232
資訊	明星	輻射	電視	0.347	0.374	0.348	0.331	0.228	0.233	0.245
明星	影像	輻射	電視	0.312	0.348	0.332	0.331	0.236	0.245	0.219
