				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
打球	配件	腳丫	鞋子	0.699	0.328	0.402	0.406	0.215	0.121	0.101
腳掌	打球	配件	鞋子	0.665	0.4	0.328	0.402	0.202	0.048	0.215
腳	打球	配件	鞋子	0.652	0.408	0.328	0.402	0.187	0.085	0.215
配件	腳丫	行走	鞋子	0.63	0.402	0.406	0.277	0.101	0.157	0.196
名牌	打球	腳丫	鞋子	0.62	0.416	0.328	0.406	0.232	0.177	0.121
名牌	腳掌	打球	鞋子	0.609	0.416	0.4	0.328	0.101	0.232	0.202
腳	名牌	打球	鞋子	0.592	0.408	0.416	0.328	0.141	0.187	0.232
打球	配件	雙腳	鞋子	0.559	0.328	0.402	0.405	0.215	0.233	0.127
名牌	打球	雙腳	鞋子	0.551	0.416	0.328	0.405	0.232	0.133	0.233
走路	籃球	配件	鞋子	0.548	0.432	0.286	0.402	0.18	0.206	0.187
名牌	腳丫	行走	鞋子	0.547	0.416	0.406	0.277	0.177	0.178	0.196
籃球	配件	行走	鞋子	0.488	0.286	0.402	0.277	0.187	0.133	0.157
舒適	打球	配件	鞋子	0.432	0.295	0.328	0.402	0.215	0.163	0.215
舒適	籃球	配件	鞋子	0.407	0.295	0.286	0.402	0.227	0.163	0.187
名牌	舒適	打球	鞋子	0.378	0.416	0.295	0.328	0.214	0.232	0.215
