				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
唱片	興趣	優雅	音樂	0.766	0.447	0.353	0.372	0.125	0.058	0.222
音符	陶冶	熱門	音樂	0.74	0.401	0.258	0.337	0.187	0.001	0.068
唱片	愉悅	熱門	音樂	0.732	0.447	0.397	0.337	0.108	0.105	0.235
唱片	陶冶	熱門	音樂	0.718	0.447	0.258	0.337	0.15	0.105	0.068
小提琴	愉悅	熱門	音樂	0.713	0.423	0.397	0.337	0.126	0.081	0.235
歌手	興趣	優雅	音樂	0.71	0.466	0.353	0.372	0.149	0.109	0.222
欣賞	流行	音符	音樂	0.709	0.462	0.339	0.401	0.226	0.1	0.168
歌手	輕鬆	陶冶	音樂	0.707	0.466	0.341	0.258	0.069	0.111	0.177
歌手	快樂	陶冶	音樂	0.7	0.466	0.424	0.258	0.155	0.111	0.182
快樂	唱片	陶冶	音樂	0.693	0.424	0.447	0.258	0.105	0.182	0.15
唱片	興趣	優美	音樂	0.686	0.447	0.353	0.398	0.125	0.137	0.249
歌手	興趣	優美	音樂	0.685	0.466	0.353	0.398	0.149	0.133	0.249
音符	放鬆	熱門	音樂	0.683	0.401	0.255	0.337	0.133	0.001	0.177
唱片	輕鬆	陶冶	音樂	0.677	0.447	0.341	0.258	0.041	0.15	0.177
歌手	陶冶	熱門	音樂	0.675	0.466	0.258	0.337	0.111	0.207	0.068
歌手	愉悅	熱門	音樂	0.673	0.466	0.397	0.337	0.083	0.207	0.235
歌手	陶冶	優雅	音樂	0.673	0.466	0.258	0.372	0.111	0.109	0.203
歌星	愉悅	熱門	音樂	0.671	0.396	0.397	0.337	0.06	0.162	0.235
歌星	興趣	優雅	音樂	0.67	0.396	0.353	0.372	0.142	0.085	0.222
唱片	陶冶	優雅	音樂	0.666	0.447	0.258	0.372	0.15	0.058	0.203
流行	快樂	小提琴	音樂	0.663	0.339	0.424	0.423	0.19	0.196	0.136
流行	輕鬆	小提琴	音樂	0.662	0.339	0.341	0.423	0.204	0.196	0.04
旋律	陶冶	熱門	音樂	0.656	0.491	0.258	0.337	0.247	0.114	0.068
流行	音符	興趣	音樂	0.653	0.339	0.401	0.353	0.168	0.22	0.052
音符	愉悅	熱門	音樂	0.651	0.401	0.397	0.337	0.247	0.001	0.235
音符	興趣	優雅	音樂	0.651	0.401	0.353	0.372	0.052	0.2	0.222
歌手	休閒	陶冶	音樂	0.651	0.466	0.47	0.258	0.19	0.111	0.243
美妙	唱片	氣質	音樂	0.651	0.325	0.447	0.425	0.232	0.18	0.134
唱片	氣質	放鬆	音樂	0.647	0.447	0.425	0.255	0.134	0.117	0.229
流行	氣質	音符	音樂	0.646	0.339	0.425	0.401	0.177	0.168	0.174
欣賞	流行	小提琴	音樂	0.644	0.462	0.339	0.423	0.226	0.158	0.196
歌星	興趣	優美	音樂	0.643	0.396	0.353	0.398	0.142	0.112	0.249
流行	氣質	小提琴	音樂	0.642	0.339	0.425	0.423	0.177	0.196	0.172
唱片	休閒	陶冶	音樂	0.642	0.447	0.47	0.258	0.141	0.15	0.243
唱片	放鬆	熱門	音樂	0.64	0.447	0.255	0.337	0.117	0.105	0.177
歌星	陶冶	熱門	音樂	0.637	0.396	0.258	0.337	0.124	0.162	0.068
小提琴	陶冶	熱門	音樂	0.637	0.423	0.258	0.337	0.232	0.081	0.068
欣賞	流行	吉他	音樂	0.633	0.462	0.339	0.382	0.226	0.103	0.222
舞蹈	愉悅	熱門	音樂	0.628	0.497	0.397	0.337	0.205	0.161	0.235
快樂	歌星	陶冶	音樂	0.627	0.424	0.396	0.258	0.145	0.182	0.124
