				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
柔亮	捲毛	長度	頭髮	0.806	0.473	0.348	0.467	0.246	0.125	0.112
梳子	長度	亮麗	頭髮	0.709	0.454	0.467	0.317	0.166	0.116	0.248
捲毛	長度	染色	頭髮	0.684	0.348	0.467	0.331	0.112	0.173	0.178
捲毛	長度	亮麗	頭髮	0.682	0.348	0.467	0.317	0.112	0.091	0.248
梳子	長度	褐色	頭髮	0.668	0.454	0.467	0.289	0.166	0.228	0.15
黑色	梳子	長度	頭髮	0.666	0.256	0.454	0.467	0.188	0.158	0.166
髮夾	柔亮	飛揚	頭髮	0.656	0.481	0.473	0.338	0.24	0.197	0.199
髮夾	捲毛	飛揚	頭髮	0.627	0.481	0.348	0.338	0.228	0.197	0.115
髮夾	褐色	飛揚	頭髮	0.625	0.481	0.289	0.338	0.146	0.197	0.14
捲毛	染色	飛揚	頭髮	0.622	0.348	0.331	0.338	0.173	0.115	0.106
黑色	梳子	柔順	頭髮	0.62	0.256	0.454	0.494	0.188	0.152	0.245
柔亮	捲毛	飛揚	頭髮	0.599	0.473	0.348	0.338	0.246	0.199	0.115
梳子	柔順	褐色	頭髮	0.596	0.454	0.494	0.289	0.245	0.228	0.17
梳子	褐色	飛揚	頭髮	0.594	0.454	0.289	0.338	0.228	0.119	0.14
分叉	顏色	捲毛	頭髮	0.594	0.323	0.476	0.348	0.176	0.226	0.152
髮夾	柔亮	捲毛	頭髮	0.588	0.481	0.473	0.348	0.24	0.228	0.246
髮夾	分叉	飛揚	頭髮	0.57	0.481	0.323	0.338	0.225	0.197	0.15
黑色	梳子	飛揚	頭髮	0.57	0.256	0.454	0.338	0.188	0.171	0.119
柔順	捲毛	染色	頭髮	0.56	0.494	0.348	0.331	0.228	0.212	0.173
黑色	捲毛	長度	頭髮	0.555	0.256	0.348	0.467	0.247	0.158	0.112
飄逸	梳子	褐色	頭髮	0.546	0.451	0.454	0.289	0.173	0.248	0.228
捲毛	美麗	染色	頭髮	0.54	0.348	0.375	0.331	0.167	0.173	0.174
髮飾	分叉	捲毛	頭髮	0.534	0.498	0.323	0.348	0.167	0.243	0.226
捲毛	亮麗	染色	頭髮	0.524	0.348	0.317	0.331	0.091	0.173	0.209
飄逸	捲毛	染色	頭髮	0.52	0.451	0.348	0.331	0.247	0.189	0.173
分叉	捲毛	美麗	頭髮	0.519	0.323	0.348	0.375	0.226	0.134	0.167
分叉	捲毛	飛揚	頭髮	0.518	0.323	0.348	0.338	0.226	0.15	0.115
黑色	髮夾	飛揚	頭髮	0.504	0.256	0.481	0.338	0.203	0.171	0.197
分叉	捲毛	亮麗	頭髮	0.494	0.323	0.348	0.317	0.226	0.178	0.091
黑色	梳子	美麗	頭髮	0.486	0.256	0.454	0.375	0.188	0.22	0.19
長度	亮麗	染色	頭髮	0.481	0.467	0.317	0.331	0.248	0.178	0.209
黑色	長度	染色	頭髮	0.476	0.256	0.467	0.331	0.158	0.241	0.178
黑色	柔順	染色	頭髮	0.475	0.256	0.494	0.331	0.152	0.241	0.212
髮夾	分叉	捲毛	頭髮	0.474	0.481	0.323	0.348	0.225	0.228	0.226
黑色	柔順	捲毛	頭髮	0.471	0.256	0.494	0.348	0.152	0.247	0.228
梳子	美麗	褐色	頭髮	0.454	0.454	0.375	0.289	0.19	0.228	0.247
黑色	髮飾	捲毛	頭髮	0.445	0.256	0.498	0.348	0.167	0.247	0.243
飄逸	分叉	捲毛	頭髮	0.421	0.451	0.323	0.348	0.228	0.247	0.226
黑色	捲毛	飛揚	頭髮	0.409	0.256	0.348	0.338	0.247	0.171	0.115
黑色	髮夾	捲毛	頭髮	0.407	0.256	0.481	0.348	0.203	0.247	0.228
黑色	染色	飛揚	頭髮	0.406	0.256	0.331	0.338	0.241	0.171	0.106
黑色	捲毛	美麗	頭髮	0.344	0.256	0.348	0.375	0.247	0.22	0.167
黑色	美麗	染色	頭髮	0.325	0.256	0.375	0.331	0.22	0.241	0.174
黑色	捲毛	染色	頭髮	0.273	0.256	0.348	0.331	0.247	0.241	0.173
