				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
照片	觀光	如詩	風景	0.807	0.361	0.482	0.473	0.203	0.162	0.143
照片	橋	如詩	風景	0.739	0.361	0.387	0.473	0.13	0.162	0.191
美好	高山	圖片	風景	0.719	0.332	0.288	0.482	0.17	0.163	0.05
山水	陽明山	圖片	風景	0.716	0.48	0.371	0.482	0.237	0.186	0.195
照片	自然	橋	風景	0.707	0.361	0.354	0.387	0.208	0.13	0.057
陽明山	照片	如詩	風景	0.7	0.371	0.361	0.473	0.161	0.182	0.162
美好	陽明山	圖片	風景	0.699	0.332	0.371	0.482	0.129	0.163	0.195
自然	橋	郊遊	風景	0.693	0.354	0.387	0.355	0.057	0.171	0.175
陽明山	自然	圖片	風景	0.69	0.371	0.354	0.482	0.207	0.195	0.116
拍照	橋	如詩	風景	0.681	0.323	0.387	0.473	0.155	0.156	0.191
高山	圖片	郊遊	風景	0.681	0.288	0.482	0.355	0.05	0.155	0.24
陽明山	拍照	如詩	風景	0.67	0.371	0.323	0.473	0.159	0.182	0.156
山水	照片	橋	風景	0.67	0.48	0.361	0.387	0.244	0.184	0.13
自然	圖片	郊遊	風景	0.665	0.354	0.482	0.355	0.116	0.171	0.24
美好	陽明山	橋	風景	0.654	0.332	0.371	0.387	0.129	0.091	0.216
漂亮	高山	圖片	風景	0.652	0.35	0.288	0.482	0.18	0.239	0.05
漂亮	山水	橋	風景	0.646	0.35	0.48	0.387	0.249	0.138	0.184
陽明山	橋	如詩	風景	0.642	0.371	0.387	0.473	0.216	0.182	0.191
漂亮	山水	圖片	風景	0.639	0.35	0.48	0.482	0.249	0.239	0.186
山水	拍照	橋	風景	0.635	0.48	0.323	0.387	0.216	0.184	0.155
自然	拍照	橋	風景	0.633	0.354	0.323	0.387	0.219	0.057	0.155
陽明山	自然	橋	風景	0.631	0.371	0.354	0.387	0.207	0.216	0.057
橋	如詩	郊遊	風景	0.624	0.387	0.473	0.355	0.191	0.175	0.226
高山	橋	如詩	風景	0.613	0.288	0.387	0.473	0.15	0.194	0.191
陽明山	照片	橋	風景	0.612	0.371	0.361	0.387	0.161	0.216	0.13
美好	照片	橋	風景	0.611	0.332	0.361	0.387	0.249	0.091	0.13
遊玩	高山	如詩	風景	0.609	0.455	0.288	0.473	0.183	0.23	0.194
漂亮	橋	郊遊	風景	0.602	0.35	0.387	0.355	0.138	0.178	0.175
山水	陽明山	橋	風景	0.6	0.48	0.371	0.387	0.237	0.184	0.216
美好	高山	橋	風景	0.595	0.332	0.288	0.387	0.17	0.091	0.15
照片	高山	如詩	風景	0.595	0.361	0.288	0.473	0.172	0.162	0.194
漂亮	陽明山	圖片	風景	0.589	0.35	0.371	0.482	0.182	0.239	0.195
照片	如詩	郊遊	風景	0.589	0.361	0.473	0.355	0.162	0.212	0.226
照片	橋	郊遊	風景	0.587	0.361	0.387	0.355	0.13	0.212	0.175
照片	高山	橋	風景	0.584	0.361	0.288	0.387	0.172	0.13	0.15
漂亮	陽明山	橋	風景	0.573	0.35	0.371	0.387	0.182	0.138	0.216
山水	陽明山	照片	風景	0.57	0.48	0.371	0.361	0.237	0.244	0.161
山水	陽明山	拍照	風景	0.563	0.48	0.371	0.323	0.237	0.216	0.159
美好	拍照	橋	風景	0.558	0.332	0.323	0.387	0.238	0.091	0.155
漂亮	高山	橋	風景	0.557	0.35	0.288	0.387	0.18	0.138	0.15
陽明山	拍照	橋	風景	0.551	0.371	0.323	0.387	0.159	0.216	0.155
拍照	高山	如詩	風景	0.55	0.323	0.288	0.473	0.184	0.156	0.194
高山	橋	郊遊	風景	0.55	0.288	0.387	0.355	0.15	0.155	0.175
高山	如詩	郊遊	風景	0.541	0.288	0.473	0.355	0.194	0.155	0.226
美好	照片	觀光	風景	0.541	0.332	0.361	0.482	0.249	0.183	0.203
漂亮	山水	陽明山	風景	0.534	0.35	0.48	0.371	0.249	0.182	0.237
漂亮	圖片	郊遊	風景	0.532	0.35	0.482	0.355	0.239	0.178	0.24
美好	陽明山	照片	風景	0.526	0.332	0.371	0.361	0.129	0.249	0.161
漂亮	遊玩	高山	風景	0.511	0.35	0.455	0.288	0.219	0.18	0.183
陽明山	照片	自然	風景	0.51	0.371	0.361	0.354	0.161	0.207	0.208
拍照	高山	橋	風景	0.509	0.323	0.288	0.387	0.184	0.155	0.15
美好	陽明山	拍照	風景	0.5	0.332	0.371	0.323	0.129	0.238	0.159
美好	遊玩	高山	風景	0.485	0.332	0.455	0.288	0.237	0.17	0.183
漂亮	高山	郊遊	風景	0.481	0.35	0.288	0.355	0.18	0.178	0.155
照片	自然	郊遊	風景	0.479	0.361	0.354	0.355	0.208	0.212	0.171
照片	高山	郊遊	風景	0.465	0.361	0.288	0.355	0.172	0.212	0.155
陽明山	自然	拍照	風景	0.463	0.371	0.354	0.323	0.207	0.159	0.219
美好	照片	高山	風景	0.391	0.332	0.361	0.288	0.249	0.17	0.172
美好	拍照	高山	風景	0.351	0.332	0.323	0.288	0.238	0.17	0.184
