				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
斷線	玩具	藍天	風箏	0.768	0.485	0.354	0.368	0.098	0.201	0.14
斷線	玩具	高空	風箏	0.765	0.485	0.354	0.307	0.098	0.092	0.191
斷線	草原	玩具	風箏	0.763	0.485	0.287	0.354	0.066	0.098	0.199
斷線	小孩子	藍天	風箏	0.733	0.485	0.304	0.368	0.083	0.201	0.139
天空	斷線	玩具	風箏	0.73	0.293	0.485	0.354	0.115	0.189	0.098
公園	斷線	高空	風箏	0.723	0.375	0.485	0.307	0.157	0.195	0.092
公園	斷線	玩具	風箏	0.719	0.375	0.485	0.354	0.157	0.241	0.098
斷線	小孩子	飛機	風箏	0.714	0.485	0.304	0.451	0.083	0.221	0.222
小孩	斷線	藍天	風箏	0.704	0.259	0.485	0.368	0.101	0.106	0.201
斷線	草原	飛機	風箏	0.702	0.485	0.287	0.451	0.066	0.221	0.233
斷線	玩具	飛揚	風箏	0.696	0.485	0.354	0.32	0.098	0.246	0.119
公園	斷線	小孩子	風箏	0.696	0.375	0.485	0.304	0.157	0.228	0.083
斷線	小孩子	高空	風箏	0.678	0.485	0.304	0.307	0.083	0.092	0.243
小孩	斷線	飛揚	風箏	0.67	0.259	0.485	0.32	0.101	0.048	0.246
斷線	高空	童年	風箏	0.664	0.485	0.307	0.271	0.092	0.184	0.123
斷線	小孩子	蝴蝶	風箏	0.659	0.485	0.304	0.342	0.083	0.175	0.213
斷線	飛機	蝴蝶	風箏	0.654	0.485	0.451	0.342	0.221	0.175	0.228
公園	斷線	蝴蝶	風箏	0.652	0.375	0.485	0.342	0.157	0.217	0.175
斷線	高空	飛揚	風箏	0.652	0.485	0.307	0.32	0.092	0.246	0.123
斷線	高空	蝴蝶	風箏	0.648	0.485	0.307	0.342	0.092	0.175	0.218
天空	公園	斷線	風箏	0.644	0.293	0.375	0.485	0.238	0.115	0.157
斷線	小孩子	飛揚	風箏	0.639	0.485	0.304	0.32	0.083	0.246	0.141
斷線	童年	飛機	風箏	0.635	0.485	0.271	0.451	0.184	0.221	0.168
線	小孩子	高飛	風箏	0.632	0.316	0.304	0.449	0.108	0.211	0.118
小孩	斷線	飛機	風箏	0.631	0.259	0.485	0.451	0.101	0.243	0.221
小孩	公園	斷線	風箏	0.63	0.259	0.375	0.485	0.232	0.101	0.157
小孩	斷線	高空	風箏	0.63	0.259	0.485	0.307	0.101	0.229	0.092
線	高飛	玩具	風箏	0.626	0.316	0.449	0.354	0.211	0.117	0.164
公園	斷線	童年	風箏	0.622	0.375	0.485	0.271	0.157	0.169	0.184
天空	小孩	斷線	風箏	0.593	0.293	0.259	0.485	0.229	0.115	0.101
小孩	線	高飛	風箏	0.591	0.259	0.316	0.449	0.137	0.085	0.211
斷線	藍天	蝴蝶	風箏	0.581	0.485	0.368	0.342	0.201	0.175	0.237
風	高空	童年	風箏	0.577	0.391	0.307	0.271	0.166	0.103	0.123
線	玩具	飛揚	風箏	0.576	0.316	0.354	0.32	0.117	0.178	0.119
飛	玩具	高空	風箏	0.575	0.461	0.354	0.307	0.156	0.202	0.191
風	玩具	高空	風箏	0.572	0.391	0.354	0.307	0.124	0.166	0.191
飛	草原	玩具	風箏	0.571	0.461	0.287	0.354	0.177	0.156	0.199
小孩	斷線	蝴蝶	風箏	0.571	0.259	0.485	0.342	0.101	0.239	0.175
草原	高飛	玩具	風箏	0.57	0.287	0.449	0.354	0.157	0.199	0.164
斷線	草原	飛揚	風箏	0.567	0.485	0.287	0.32	0.066	0.246	0.213
斷線	遊玩	蝴蝶	風箏	0.566	0.485	0.316	0.342	0.247	0.175	0.154
斷線	高空	遊玩	風箏	0.566	0.485	0.307	0.316	0.092	0.247	0.203
斷線	蝴蝶	飛揚	風箏	0.553	0.485	0.342	0.32	0.175	0.246	0.172
線	玩具	高空	風箏	0.549	0.316	0.354	0.307	0.117	0.12	0.191
玩具	高空	飛揚	風箏	0.549	0.354	0.307	0.32	0.191	0.119	0.123
飛	小孩子	高空	風箏	0.538	0.461	0.304	0.307	0.09	0.202	0.243
小孩	線	飛揚	風箏	0.532	0.259	0.316	0.32	0.137	0.048	0.178
高飛	玩具	高空	風箏	0.529	0.449	0.354	0.307	0.164	0.226	0.191
天空	斷線	遊玩	風箏	0.529	0.293	0.485	0.316	0.115	0.203	0.247
線	高空	飛揚	風箏	0.523	0.316	0.307	0.32	0.12	0.178	0.123
斷線	童年	藍天	風箏	0.52	0.485	0.271	0.368	0.184	0.201	0.219
飛	高空	童年	風箏	0.52	0.461	0.307	0.271	0.202	0.195	0.123
線	高飛	高空	風箏	0.515	0.316	0.449	0.307	0.211	0.12	0.226
線	草原	高飛	風箏	0.513	0.316	0.287	0.449	0.17	0.211	0.157
線	小孩子	飛揚	風箏	0.512	0.316	0.304	0.32	0.108	0.178	0.141
高飛	高空	童年	風箏	0.511	0.449	0.307	0.271	0.226	0.168	0.123
線	高飛	童年	風箏	0.509	0.316	0.449	0.271	0.211	0.148	0.168
天空	線	玩具	風箏	0.507	0.293	0.316	0.354	0.15	0.189	0.117
天空	風	玩具	風箏	0.506	0.293	0.391	0.354	0.219	0.189	0.124
斷線	童年	蝴蝶	風箏	0.504	0.485	0.271	0.342	0.184	0.175	0.234
線	高空	童年	風箏	0.503	0.316	0.307	0.271	0.12	0.148	0.123
高空	童年	飛揚	風箏	0.501	0.307	0.271	0.32	0.123	0.123	0.152
快樂	玩具	高空	風箏	0.499	0.349	0.354	0.307	0.222	0.099	0.191
斷線	遊玩	藍天	風箏	0.498	0.485	0.316	0.368	0.247	0.201	0.223
小孩	風	高空	風箏	0.496	0.259	0.391	0.307	0.066	0.229	0.166
風	小孩子	蝴蝶	風箏	0.496	0.391	0.304	0.342	0.106	0.221	0.213
斷線	童年	飛揚	風箏	0.495	0.485	0.271	0.32	0.184	0.246	0.152
線	小鳥	高空	風箏	0.49	0.316	0.443	0.307	0.218	0.12	0.237
小孩	飛	高空	風箏	0.49	0.259	0.461	0.307	0.107	0.229	0.202
小孩	高空	飛揚	風箏	0.487	0.259	0.307	0.32	0.229	0.048	0.123
風	小孩子	高空	風箏	0.487	0.391	0.304	0.307	0.106	0.166	0.243
小孩	高飛	高空	風箏	0.476	0.259	0.449	0.307	0.085	0.229	0.226
線	小孩子	蝴蝶	風箏	0.476	0.316	0.304	0.342	0.108	0.164	0.213
小孩子	高飛	高空	風箏	0.474	0.304	0.449	0.307	0.118	0.243	0.226
風	遊玩	蝴蝶	風箏	0.471	0.391	0.316	0.342	0.202	0.221	0.154
線	草原	玩具	風箏	0.471	0.316	0.287	0.354	0.17	0.117	0.199
公園	高空	童年	風箏	0.466	0.375	0.307	0.271	0.195	0.169	0.123
小孩	風	蝴蝶	風箏	0.466	0.259	0.391	0.342	0.066	0.239	0.221
線	蝴蝶	飛揚	風箏	0.463	0.316	0.342	0.32	0.164	0.178	0.172
小孩	蝴蝶	飛揚	風箏	0.463	0.259	0.342	0.32	0.239	0.048	0.172
線	高空	蝴蝶	風箏	0.462	0.316	0.307	0.342	0.12	0.164	0.218
遊玩	蝴蝶	飛揚	風箏	0.461	0.316	0.342	0.32	0.154	0.191	0.172
快樂	高空	蝴蝶	風箏	0.459	0.349	0.307	0.342	0.099	0.222	0.218
高空	蝴蝶	飛揚	風箏	0.457	0.307	0.342	0.32	0.218	0.123	0.172
線	小孩子	高空	風箏	0.456	0.316	0.304	0.307	0.108	0.12	0.243
風	童年	蝴蝶	風箏	0.445	0.391	0.271	0.342	0.103	0.221	0.234
高飛	高空	遊玩	風箏	0.445	0.449	0.307	0.316	0.226	0.198	0.203
風	高空	遊玩	風箏	0.443	0.391	0.307	0.316	0.166	0.202	0.203
小孩子	蝴蝶	飛揚	風箏	0.439	0.304	0.342	0.32	0.213	0.141	0.172
斷線	遊玩	飛揚	風箏	0.437	0.485	0.316	0.32	0.247	0.246	0.191
風	高空	蝴蝶	風箏	0.435	0.391	0.307	0.342	0.166	0.221	0.218
童年	飛機	蝴蝶	風箏	0.434	0.271	0.451	0.342	0.168	0.234	0.228
小孩子	飛機	蝴蝶	風箏	0.433	0.304	0.451	0.342	0.222	0.213	0.228
草原	玩具	飛揚	風箏	0.431	0.287	0.354	0.32	0.199	0.213	0.119
線	童年	飛揚	風箏	0.429	0.316	0.271	0.32	0.148	0.178	0.152
