				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
下雨	損失	太平洋	颱風	0.723	0.358	0.309	0.399	0.15	0.131	0.061
放假	風雨	太平洋	颱風	0.705	0.302	0.456	0.399	0.15	0.097	0.205
損失	大雨	太平洋	颱風	0.703	0.309	0.408	0.399	0.208	0.061	0.144
放假	損失	太平洋	颱風	0.69	0.302	0.309	0.399	0.162	0.097	0.061
損失	豪雨	太平洋	颱風	0.684	0.309	0.445	0.399	0.214	0.061	0.193
放假	災難	太平洋	颱風	0.68	0.302	0.426	0.399	0.145	0.097	0.206
損失	太平洋	雨水	颱風	0.676	0.309	0.399	0.356	0.061	0.134	0.194
放假	風雨	土石流	颱風	0.668	0.302	0.456	0.409	0.15	0.165	0.184
放假	破壞	太平洋	颱風	0.666	0.302	0.277	0.399	0.139	0.097	0.076
損失	風雨	太平洋	颱風	0.665	0.309	0.456	0.399	0.233	0.061	0.205
破壞	大雨	太平洋	颱風	0.664	0.277	0.408	0.399	0.199	0.076	0.144
放假	水災	太平洋	颱風	0.664	0.302	0.477	0.399	0.192	0.097	0.225
放假	氣象	太平洋	颱風	0.661	0.302	0.479	0.399	0.185	0.097	0.237
放假	天災	太平洋	颱風	0.648	0.302	0.437	0.399	0.183	0.097	0.21
風雨	土石流	太平洋	颱風	0.647	0.456	0.409	0.399	0.184	0.205	0.228
下雨	破壞	太平洋	颱風	0.647	0.358	0.277	0.399	0.179	0.131	0.076
淹水	氣象	太平洋	颱風	0.64	0.295	0.479	0.399	0.159	0.137	0.237
風雨	土石流	氣壓	颱風	0.635	0.456	0.409	0.352	0.184	0.238	0.16
台灣	豪雨	氣壓	颱風	0.632	0.347	0.445	0.352	0.178	0.161	0.172
損失	土石流	太平洋	颱風	0.632	0.309	0.409	0.399	0.197	0.061	0.228
放假	土石流	氣壓	颱風	0.624	0.302	0.409	0.352	0.165	0.115	0.16
放假	氣壓	太平洋	颱風	0.622	0.302	0.352	0.399	0.115	0.097	0.219
放假	土石流	太平洋	颱風	0.621	0.302	0.409	0.399	0.165	0.097	0.228
下雨	災難	太平洋	颱風	0.618	0.358	0.426	0.399	0.228	0.131	0.206
風雨	太平洋	傷亡	颱風	0.616	0.456	0.399	0.325	0.205	0.234	0.126
破壞	太平洋	雨水	颱風	0.613	0.277	0.399	0.356	0.076	0.149	0.194
豪雨	氣壓	太平洋	颱風	0.612	0.445	0.352	0.399	0.172	0.193	0.219
下雨	太平洋	傷亡	颱風	0.611	0.358	0.399	0.325	0.131	0.213	0.126
