				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
空姐	藍天	工具	飛機	0.786	0.438	0.434	0.265	0.234	0.071	0.046
失事	藍天	空服員	飛機	0.784	0.473	0.434	0.482	0.144	0.243	0.219
藍天	空服員	工具	飛機	0.777	0.434	0.482	0.265	0.219	0.046	0.139
車子	外國	翱翔	飛機	0.749	0.473	0.391	0.259	0.242	0.116	0.017
駕駛員	外國	翱翔	飛機	0.738	0.452	0.391	0.259	0.218	0.128	0.017
乘客	藍天	工具	飛機	0.735	0.41	0.434	0.265	0.13	0.198	0.046
飛翔	空姐	工具	飛機	0.734	0.439	0.438	0.265	0.181	0.156	0.071
藍天	跑道	工具	飛機	0.729	0.434	0.42	0.265	0.206	0.046	0.138
空姐	鴿子	工具	飛機	0.725	0.438	0.368	0.265	0.196	0.071	0.079
空姐	鴿子	交通	飛機	0.722	0.438	0.368	0.32	0.196	0.164	0.044
跑道	外國	翱翔	飛機	0.716	0.42	0.391	0.259	0.094	0.242	0.017
空姐	車子	工具	飛機	0.712	0.438	0.473	0.265	0.171	0.071	0.223
空姐	鴿子	運輸	飛機	0.704	0.438	0.368	0.468	0.196	0.19	0.185
跑道	外國	工具	飛機	0.701	0.42	0.391	0.265	0.094	0.138	0.142
車子	跑道	外國	飛機	0.701	0.473	0.42	0.391	0.247	0.242	0.094
華航	跑道	工具	飛機	0.697	0.468	0.42	0.265	0.221	0.097	0.138
飛翔	空姐	交通	飛機	0.694	0.439	0.438	0.32	0.181	0.159	0.164
駕駛員	華航	工具	飛機	0.686	0.452	0.468	0.265	0.231	0.171	0.097
失事	飛翔	外國	飛機	0.68	0.473	0.439	0.391	0.237	0.205	0.18
鴿子	跑道	運輸	飛機	0.677	0.368	0.42	0.468	0.189	0.185	0.205
空姐	車子	翱翔	飛機	0.67	0.438	0.473	0.259	0.171	0.214	0.116
藍天	空服員	交通	飛機	0.664	0.434	0.482	0.32	0.219	0.179	0.175
旅行	藍天	空服員	飛機	0.661	0.255	0.434	0.482	0.124	0.168	0.219
駕駛員	鴿子	工具	飛機	0.66	0.452	0.368	0.265	0.175	0.171	0.079
失事	外國	翱翔	飛機	0.652	0.473	0.391	0.259	0.205	0.248	0.017
鴿子	跑道	工具	飛機	0.646	0.368	0.42	0.265	0.189	0.079	0.138
車子	華航	跑道	飛機	0.646	0.473	0.468	0.42	0.247	0.247	0.221
車子	華航	工具	飛機	0.64	0.473	0.468	0.265	0.247	0.223	0.097
旅行	駕駛員	華航	飛機	0.636	0.255	0.452	0.468	0.147	0.161	0.231
失事	空服員	旅遊	飛機	0.634	0.473	0.482	0.339	0.243	0.223	0.194
出國	跑道	工具	飛機	0.63	0.395	0.42	0.265	0.137	0.174	0.138
車子	高空	外國	飛機	0.627	0.473	0.371	0.391	0.193	0.242	0.174
飛翔	外國	工具	飛機	0.617	0.439	0.391	0.265	0.18	0.156	0.142
空姐	藍天	交通	飛機	0.615	0.438	0.434	0.32	0.234	0.164	0.179
旅行	駕駛員	鴿子	飛機	0.612	0.255	0.452	0.368	0.147	0.142	0.175
天空	失事	服務	飛機	0.609	0.281	0.473	0.352	0.244	0.149	0.104
旅行	藍天	跑道	飛機	0.599	0.255	0.434	0.42	0.124	0.18	0.206
外國	翱翔	工具	飛機	0.599	0.391	0.259	0.265	0.017	0.142	0.157
失事	服務	翱翔	飛機	0.597	0.473	0.352	0.259	0.104	0.248	0.136
旅客	藍天	工具	飛機	0.594	0.35	0.434	0.265	0.161	0.249	0.046
車子	華航	翱翔	飛機	0.592	0.473	0.468	0.259	0.247	0.116	0.246
飛翔	乘客	工具	飛機	0.59	0.439	0.41	0.265	0.17	0.156	0.198
飛翔	交通	外國	飛機	0.588	0.439	0.32	0.391	0.159	0.18	0.223
空姐	運輸	翱翔	飛機	0.586	0.438	0.468	0.259	0.19	0.214	0.176
旅行	跑道	外國	飛機	0.584	0.255	0.42	0.391	0.18	0.209	0.094
旅行	華航	跑道	飛機	0.581	0.255	0.468	0.42	0.161	0.18	0.221
駕駛員	外國	工具	飛機	0.577	0.452	0.391	0.265	0.218	0.171	0.142
