				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
中毒	飽足	冰箱	食物	0.784	0.446	0.388	0.462	0.138	0.249	0.125
牛肉	生命	充饑	食物	0.777	0.474	0.331	0.418	0.156	0.169	0.122
牛肉	能量	充饑	食物	0.754	0.474	0.405	0.418	0.227	0.169	0.146
肥胖	冰箱	充饑	食物	0.746	0.417	0.462	0.418	0.207	0.161	0.182
飽足	巧克力	垃圾	食物	0.733	0.388	0.431	0.41	0.184	0.085	0.228
飽足	必需品	垃圾	食物	0.721	0.388	0.415	0.41	0.201	0.085	0.207
中毒	能量	充饑	食物	0.718	0.446	0.405	0.418	0.195	0.209	0.146
蛋糕	飽足	垃圾	食物	0.712	0.38	0.388	0.41	0.164	0.218	0.085
垃圾	胃	充饑	食物	0.711	0.41	0.442	0.418	0.237	0.129	0.194
肥胖	生命	充饑	食物	0.71	0.417	0.331	0.418	0.174	0.161	0.122
中毒	必需品	餐廳	食物	0.706	0.446	0.415	0.395	0.213	0.191	0.146
中毒	必需品	胃	食物	0.704	0.446	0.415	0.442	0.213	0.231	0.154
蛋糕	中毒	飽足	食物	0.699	0.38	0.446	0.388	0.213	0.164	0.138
中毒	飽足	必需品	食物	0.697	0.446	0.388	0.415	0.138	0.213	0.201
冰箱	生命	充饑	食物	0.695	0.462	0.331	0.418	0.212	0.182	0.122
必需品	垃圾	餐廳	食物	0.689	0.415	0.41	0.395	0.207	0.146	0.179
必需品	蘋果	胃	食物	0.687	0.415	0.264	0.442	0.133	0.154	0.148
中毒	冰箱	充饑	食物	0.685	0.446	0.462	0.418	0.249	0.209	0.182
垃圾	生命	充饑	食物	0.684	0.41	0.331	0.418	0.225	0.129	0.122
巧克力	垃圾	充饑	食物	0.681	0.431	0.41	0.418	0.228	0.222	0.129
中毒	飽足	能量	食物	0.677	0.446	0.388	0.405	0.138	0.195	0.229
肥胖	必需品	餐廳	食物	0.675	0.417	0.415	0.395	0.175	0.232	0.146
中毒	胃	充饑	食物	0.672	0.446	0.442	0.418	0.231	0.209	0.194
饑餓	必需品	牛肉	食物	0.672	0.386	0.415	0.474	0.192	0.203	0.209
必需品	垃圾	胃	食物	0.669	0.415	0.41	0.442	0.207	0.154	0.237
饑餓	蛋糕	能量	食物	0.667	0.386	0.38	0.405	0.141	0.177	0.185
巧克力	生命	充饑	食物	0.667	0.431	0.331	0.418	0.17	0.222	0.122
飽足	必需品	牛肉	食物	0.66	0.388	0.415	0.474	0.201	0.208	0.209
營養	中毒	冰箱	食物	0.659	0.481	0.446	0.462	0.245	0.235	0.249
中毒	飲料	生存	食物	0.658	0.446	0.45	0.327	0.232	0.235	0.097
饑餓	牛肉	能量	食物	0.657	0.386	0.474	0.405	0.203	0.177	0.227
可口	必需品	餐廳	食物	0.657	0.458	0.415	0.395	0.226	0.239	0.146
中毒	生命	充饑	食物	0.654	0.446	0.331	0.418	0.211	0.209	0.122
蛋糕	垃圾	餓	食物	0.652	0.38	0.41	0.29	0.218	0.146	0.064
飽足	生存	巧克力	食物	0.652	0.388	0.327	0.431	0.195	0.184	0.116
必需品	垃圾	餓	食物	0.652	0.415	0.41	0.29	0.207	0.193	0.064
中毒	能量	餐廳	食物	0.651	0.446	0.405	0.395	0.195	0.191	0.209
饑餓	蛋糕	必需品	食物	0.649	0.386	0.38	0.415	0.141	0.192	0.2
中毒	生命	餐廳	食物	0.647	0.446	0.331	0.395	0.211	0.191	0.124
飲料	生存	垃圾	食物	0.646	0.45	0.327	0.41	0.097	0.224	0.22
飽足	冰箱	生命	食物	0.645	0.388	0.462	0.331	0.125	0.198	0.212
中毒	肚子	必需品	食物	0.643	0.446	0.356	0.415	0.191	0.213	0.17
飽足	生存	冰箱	食物	0.642	0.388	0.327	0.462	0.195	0.125	0.215
中毒	麵包	能量	食物	0.642	0.446	0.448	0.405	0.242	0.195	0.22
好吃	蘋果	生命	食物	0.642	0.484	0.264	0.331	0.201	0.149	0.088
肚子	必需品	餐廳	食物	0.639	0.356	0.415	0.395	0.17	0.211	0.146
蛋糕	能量	充饑	食物	0.639	0.38	0.405	0.418	0.185	0.232	0.146
巧克力	垃圾	餓	食物	0.638	0.431	0.41	0.29	0.228	0.201	0.064
飽足	生存	牛肉	食物	0.638	0.388	0.327	0.474	0.195	0.208	0.149
營養	中毒	肚子	食物	0.637	0.481	0.446	0.356	0.245	0.209	0.191
垃圾	生命	餓	食物	0.637	0.41	0.331	0.29	0.225	0.064	0.105
蛋糕	中毒	能量	食物	0.637	0.38	0.446	0.405	0.213	0.185	0.195
中毒	蘋果	能量	食物	0.635	0.446	0.264	0.405	0.206	0.195	0.079
肥胖	冰箱	飯	食物	0.634	0.417	0.462	0.314	0.207	0.162	0.19
肥胖	必需品	蘋果	食物	0.633	0.417	0.415	0.264	0.175	0.155	0.133
饑餓	蛋糕	垃圾	食物	0.633	0.386	0.38	0.41	0.141	0.184	0.218
飽足	必需品	巧克力	食物	0.632	0.388	0.415	0.431	0.201	0.184	0.217
飽足	牛肉	生命	食物	0.632	0.388	0.474	0.331	0.208	0.198	0.156
牛肉	生命	餓	食物	0.631	0.474	0.331	0.29	0.156	0.204	0.105
胃	生命	充饑	食物	0.63	0.442	0.331	0.418	0.246	0.194	0.122
生存	可口	餐廳	食物	0.63	0.327	0.458	0.395	0.162	0.148	0.239
饑餓	必需品	垃圾	食物	0.63	0.386	0.415	0.41	0.192	0.184	0.207
蛋糕	垃圾	充饑	食物	0.629	0.38	0.41	0.418	0.218	0.232	0.129
中毒	溫飽	能量	食物	0.628	0.446	0.327	0.405	0.174	0.195	0.18
饑餓	可口	必需品	食物	0.627	0.386	0.458	0.415	0.215	0.192	0.226
飽足	生存	垃圾	食物	0.626	0.388	0.327	0.41	0.195	0.085	0.22
營養	蛋糕	中毒	食物	0.624	0.481	0.38	0.446	0.224	0.245	0.213
飽足	垃圾	生命	食物	0.621	0.388	0.41	0.331	0.085	0.198	0.225
肥胖	飯	生命	食物	0.62	0.417	0.314	0.331	0.162	0.174	0.107
中毒	必需品	減肥	食物	0.62	0.446	0.415	0.362	0.213	0.22	0.17
營養	蛋糕	垃圾	食物	0.619	0.481	0.38	0.41	0.224	0.209	0.218
中毒	飽足	生命	食物	0.619	0.446	0.388	0.331	0.138	0.211	0.198
蛋糕	飽足	必需品	食物	0.619	0.38	0.388	0.415	0.164	0.2	0.201
肥胖	冰箱	生命	食物	0.617	0.417	0.462	0.331	0.207	0.174	0.212
中毒	肚子	飲料	食物	0.617	0.446	0.356	0.45	0.191	0.232	0.212
溫飽	巧克力	垃圾	食物	0.616	0.327	0.431	0.41	0.157	0.167	0.228
營養	生存	冰箱	食物	0.616	0.481	0.327	0.462	0.204	0.235	0.215
饑餓	必需品	巧克力	食物	0.615	0.386	0.415	0.431	0.192	0.208	0.217
營養	肚子	垃圾	食物	0.615	0.481	0.356	0.41	0.209	0.209	0.213
饑餓	可口	能量	食物	0.615	0.386	0.458	0.405	0.215	0.177	0.242
蛋糕	中毒	必需品	食物	0.614	0.38	0.446	0.415	0.213	0.2	0.213
肥胖	生命	餐廳	食物	0.614	0.417	0.331	0.395	0.174	0.232	0.124
中毒	飲料	生命	食物	0.611	0.446	0.45	0.331	0.232	0.211	0.173
可口	必需品	減肥	食物	0.609	0.458	0.415	0.362	0.226	0.23	0.17
垃圾	生命	餐廳	食物	0.608	0.41	0.331	0.395	0.225	0.179	0.124
饑餓	巧克力	垃圾	食物	0.608	0.386	0.431	0.41	0.208	0.184	0.228
肚子	必需品	蘋果	食物	0.607	0.356	0.415	0.264	0.17	0.126	0.133
飽足	蘋果	垃圾	食物	0.605	0.388	0.264	0.41	0.162	0.085	0.21
肚子	可口	必需品	食物	0.605	0.356	0.458	0.415	0.228	0.17	0.226
饑餓	牛肉	生命	食物	0.605	0.386	0.474	0.331	0.203	0.228	0.156
必需品	巧克力	垃圾	食物	0.605	0.415	0.431	0.41	0.217	0.207	0.228
生存	巧克力	垃圾	食物	0.605	0.327	0.431	0.41	0.116	0.22	0.228
中毒	肚子	餐廳	食物	0.604	0.446	0.356	0.395	0.191	0.191	0.211
飽足	牛肉	能量	食物	0.603	0.388	0.474	0.405	0.208	0.229	0.227
中毒	溫飽	冰箱	食物	0.601	0.446	0.327	0.462	0.174	0.249	0.21
生存	牛肉	能量	食物	0.601	0.327	0.474	0.405	0.149	0.228	0.227
飽足	巧克力	生命	食物	0.599	0.388	0.431	0.331	0.184	0.198	0.17
蛋糕	生命	充饑	食物	0.598	0.38	0.331	0.418	0.177	0.232	0.122
冰箱	飯	生命	食物	0.597	0.462	0.314	0.331	0.19	0.212	0.107
可口	生命	餐廳	食物	0.597	0.458	0.331	0.395	0.224	0.239	0.124
肚子	垃圾	充饑	食物	0.596	0.356	0.41	0.418	0.213	0.245	0.129
饑餓	好吃	生命	食物	0.596	0.386	0.484	0.331	0.23	0.228	0.149
肥胖	蘋果	生命	食物	0.595	0.417	0.264	0.331	0.155	0.174	0.088
蛋糕	飽足	能量	食物	0.595	0.38	0.388	0.405	0.164	0.185	0.229
吃飯	巧克力	垃圾	食物	0.594	0.309	0.431	0.41	0.17	0.158	0.228
吃飯	巧克力	生命	食物	0.594	0.309	0.431	0.331	0.17	0.137	0.17
蛋糕	能量	餓	食物	0.594	0.38	0.405	0.29	0.185	0.146	0.15
中毒	飽足	生存	食物	0.594	0.446	0.388	0.327	0.138	0.235	0.195
中毒	生存	餐廳	食物	0.594	0.446	0.327	0.395	0.235	0.191	0.148
蘋果	牛肉	能量	食物	0.593	0.264	0.474	0.405	0.243	0.079	0.227
中毒	能量	餓	食物	0.592	0.446	0.405	0.29	0.195	0.204	0.15
中毒	飽足	蘋果	食物	0.592	0.446	0.388	0.264	0.138	0.206	0.162
肥胖	必需品	飯	食物	0.591	0.417	0.415	0.314	0.175	0.162	0.218
肚子	必需品	垃圾	食物	0.591	0.356	0.415	0.41	0.17	0.213	0.207
吃飯	可口	能量	食物	0.591	0.309	0.458	0.405	0.184	0.155	0.242
蛋糕	中毒	充饑	食物	0.589	0.38	0.446	0.418	0.213	0.232	0.209
牛肉	能量	餓	食物	0.588	0.474	0.405	0.29	0.227	0.204	0.15
肚子	飲料	生存	食物	0.586	0.356	0.45	0.327	0.212	0.237	0.097
飽足	蘋果	能量	食物	0.586	0.388	0.264	0.405	0.162	0.229	0.079
營養	生存	垃圾	食物	0.585	0.481	0.327	0.41	0.204	0.209	0.22
生存	垃圾	餐廳	食物	0.585	0.327	0.41	0.395	0.22	0.148	0.179
吃飯	中毒	能量	食物	0.584	0.309	0.446	0.405	0.226	0.155	0.195
蘋果	牛肉	生命	食物	0.583	0.264	0.474	0.331	0.243	0.088	0.156
中毒	飯	能量	食物	0.582	0.446	0.314	0.405	0.226	0.195	0.162
冰箱	生命	餓	食物	0.581	0.462	0.331	0.29	0.212	0.185	0.105
蛋糕	必需品	垃圾	食物	0.581	0.38	0.415	0.41	0.2	0.218	0.207
生存	蘋果	能量	食物	0.578	0.327	0.264	0.405	0.11	0.228	0.079
中毒	肚子	能量	食物	0.578	0.446	0.356	0.405	0.191	0.195	0.243
巧克力	生命	餓	食物	0.577	0.431	0.331	0.29	0.17	0.201	0.105
肚子	蘋果	能量	食物	0.576	0.356	0.264	0.405	0.126	0.243	0.079
中毒	肚子	充饑	食物	0.574	0.446	0.356	0.418	0.191	0.209	0.245
必需品	牛肉	餓	食物	0.573	0.415	0.474	0.29	0.209	0.193	0.204
蛋糕	生命	餓	食物	0.573	0.38	0.331	0.29	0.177	0.146	0.105
營養	蛋糕	生存	食物	0.573	0.481	0.38	0.327	0.224	0.204	0.186
中毒	必需品	蘋果	食物	0.573	0.446	0.415	0.264	0.213	0.206	0.133
