				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
美食	過夜	圓山	飯店	0.726	0.354	0.442	0.471	0.111	0.199	0.231
住宿	顧客	圓山	飯店	0.72	0.378	0.482	0.471	0.225	0.204	0.182
顧客	宿舍	圓山	飯店	0.702	0.482	0.287	0.471	0.141	0.182	0.216
睡覺	美食	圓山	飯店	0.652	0.348	0.354	0.471	0.117	0.206	0.199
睡覺	客人	圓山	飯店	0.645	0.348	0.416	0.471	0.18	0.206	0.203
昂貴	客人	圓山	飯店	0.626	0.287	0.416	0.471	0.136	0.209	0.203
休閒	客人	圓山	飯店	0.605	0.379	0.416	0.471	0.231	0.226	0.203
顧客	昂貴	圓山	飯店	0.605	0.482	0.287	0.471	0.245	0.182	0.209
旅遊	宿舍	圓山	飯店	0.592	0.454	0.287	0.471	0.188	0.216	0.216
舒適	美食	圓山	飯店	0.569	0.349	0.354	0.471	0.198	0.209	0.199
顧客	昂貴	宿舍	飯店	0.566	0.482	0.287	0.287	0.245	0.141	0.104
休閒	宿舍	圓山	飯店	0.563	0.379	0.287	0.471	0.133	0.226	0.216
昂貴	旅遊	圓山	飯店	0.555	0.287	0.454	0.471	0.232	0.209	0.216
顧客	渡假	昂貴	飯店	0.555	0.482	0.38	0.287	0.175	0.245	0.175
昂貴	美食	圓山	飯店	0.538	0.287	0.354	0.471	0.166	0.209	0.199
昂貴	宿舍	圓山	飯店	0.517	0.287	0.287	0.471	0.104	0.209	0.216
客人	宿舍	圓山	飯店	0.513	0.416	0.287	0.471	0.242	0.203	0.216
昂貴	客人	宿舍	飯店	0.509	0.287	0.416	0.287	0.136	0.104	0.242
美食	宿舍	圓山	飯店	0.508	0.354	0.287	0.471	0.189	0.199	0.216
昂貴	旅遊	宿舍	飯店	0.504	0.287	0.454	0.287	0.232	0.104	0.188
睡覺	昂貴	客人	飯店	0.502	0.348	0.287	0.416	0.233	0.18	0.136
高級	客人	宿舍	飯店	0.488	0.371	0.416	0.287	0.18	0.164	0.242
舒適	宿舍	圓山	飯店	0.48	0.349	0.287	0.471	0.203	0.209	0.216
休閒	客人	宿舍	飯店	0.476	0.379	0.416	0.287	0.231	0.133	0.242
休閒	昂貴	宿舍	飯店	0.474	0.379	0.287	0.287	0.243	0.133	0.104
睡覺	昂貴	美食	飯店	0.473	0.348	0.287	0.354	0.233	0.117	0.166
休閒	昂貴	客人	飯店	0.472	0.379	0.287	0.416	0.243	0.231	0.136
高級	美食	宿舍	飯店	0.471	0.371	0.354	0.287	0.188	0.164	0.189
昂貴	美食	宿舍	飯店	0.47	0.287	0.354	0.287	0.166	0.104	0.189
休閒	昂貴	圓山	飯店	0.46	0.379	0.287	0.471	0.243	0.226	0.209
睡覺	昂貴	圓山	飯店	0.458	0.348	0.287	0.471	0.233	0.206	0.209
舒適	美食	宿舍	飯店	0.401	0.349	0.354	0.287	0.198	0.203	0.189
睡覺	渡假	昂貴	飯店	0.369	0.348	0.38	0.287	0.239	0.233	0.175
