				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
解渴	錢幣	酒精	飲料	0.748	0.402	0.394	0.467	0.104	0.215	0.196
清涼	錢幣	酒精	飲料	0.726	0.468	0.394	0.467	0.188	0.219	0.196
清涼	奶茶	錢幣	飲料	0.719	0.468	0.459	0.394	0.249	0.188	0.165
清涼	吸管	錢幣	飲料	0.703	0.468	0.399	0.394	0.158	0.188	0.212
止渴	錢幣	酒精	飲料	0.686	0.294	0.394	0.467	0.068	0.206	0.196
清涼	錢幣	麵包	飲料	0.675	0.468	0.394	0.418	0.188	0.206	0.211
暢快	奶茶	錢幣	飲料	0.673	0.333	0.459	0.394	0.149	0.2	0.165
解渴	錢幣	麵包	飲料	0.668	0.402	0.394	0.418	0.104	0.231	0.211
冰涼	錢幣	酒精	飲料	0.664	0.479	0.394	0.467	0.236	0.245	0.196
暢快	錢幣	麵包	飲料	0.661	0.333	0.394	0.418	0.2	0.074	0.211
冰涼	錢幣	糖分	飲料	0.645	0.479	0.394	0.442	0.236	0.23	0.204
暢快	錢幣	酒精	飲料	0.64	0.333	0.394	0.467	0.2	0.159	0.196
吸管	暢快	錢幣	飲料	0.629	0.399	0.333	0.394	0.085	0.212	0.2
清涼	錢幣	糖	飲料	0.628	0.468	0.394	0.386	0.188	0.196	0.236
解渴	錢幣	糖	飲料	0.625	0.402	0.394	0.386	0.104	0.217	0.236
暢快	錢幣	糖分	飲料	0.61	0.333	0.394	0.442	0.2	0.154	0.204
止渴	錢幣	麵包	飲料	0.61	0.294	0.394	0.418	0.068	0.217	0.211
水	暢快	麵包	飲料	0.606	0.304	0.333	0.418	0.135	0.241	0.074
水	錢幣	糖分	飲料	0.599	0.304	0.394	0.442	0.128	0.209	0.204
冰涼	吸管	錢幣	飲料	0.588	0.479	0.399	0.394	0.236	0.236	0.212
暢快	錢幣	糖	飲料	0.587	0.333	0.394	0.386	0.2	0.09	0.236
冰涼	錢幣	糖	飲料	0.587	0.479	0.394	0.386	0.236	0.2	0.236
水	暢快	糖分	飲料	0.581	0.304	0.333	0.442	0.135	0.209	0.154
吸管	止渴	錢幣	飲料	0.574	0.399	0.294	0.394	0.233	0.212	0.068
肥胖	暢快	麵包	飲料	0.572	0.273	0.333	0.418	0.138	0.24	0.074
肥胖	清涼	麵包	飲料	0.571	0.273	0.468	0.418	0.141	0.24	0.206
冰涼	水	錢幣	飲料	0.569	0.479	0.304	0.394	0.245	0.236	0.128
水	暢快	錢幣	飲料	0.569	0.304	0.333	0.394	0.135	0.128	0.2
止渴	錢幣	糖	飲料	0.564	0.294	0.394	0.386	0.068	0.207	0.236
肥胖	清涼	錢幣	飲料	0.555	0.273	0.468	0.394	0.141	0.249	0.188
止渴	暢快	麵包	飲料	0.547	0.294	0.333	0.418	0.209	0.217	0.074
止渴	暢快	錢幣	飲料	0.544	0.294	0.333	0.394	0.209	0.068	0.2
冰涼	水	糖分	飲料	0.542	0.479	0.304	0.442	0.245	0.23	0.209
水	錢幣	麵包	飲料	0.537	0.304	0.394	0.418	0.128	0.241	0.211
止渴	暢快	酒精	飲料	0.522	0.294	0.333	0.467	0.209	0.206	0.159
止渴	暢快	糖	飲料	0.508	0.294	0.333	0.386	0.209	0.207	0.09
肥胖	水	暢快	飲料	0.508	0.273	0.304	0.333	0.129	0.138	0.135
吸管	止渴	暢快	飲料	0.5	0.399	0.294	0.333	0.233	0.085	0.209
解渴	肥胖	錢幣	飲料	0.491	0.402	0.273	0.394	0.224	0.104	0.249
肥胖	冰涼	水	飲料	0.488	0.273	0.479	0.304	0.194	0.129	0.245
肥胖	冰涼	錢幣	飲料	0.466	0.273	0.479	0.394	0.194	0.249	0.236
肥胖	水	錢幣	飲料	0.465	0.273	0.304	0.394	0.129	0.249	0.128
肥胖	暢快	錢幣	飲料	0.412	0.273	0.333	0.394	0.138	0.249	0.2
肥胖	止渴	錢幣	飲料	0.409	0.273	0.294	0.394	0.235	0.249	0.068
解渴	肥胖	麵包	飲料	0.398	0.402	0.273	0.418	0.224	0.231	0.24
肥胖	水	麵包	飲料	0.386	0.273	0.304	0.418	0.129	0.24	0.241
肥胖	錢幣	麵包	飲料	0.384	0.273	0.394	0.418	0.249	0.24	0.211
肥胖	止渴	暢快	飲料	0.318	0.273	0.294	0.333	0.235	0.138	0.209
肥胖	止渴	麵包	飲料	0.293	0.273	0.294	0.418	0.235	0.24	0.217
