				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
柏油	逛街	車	馬路	0.746	0.479	0.319	0.5	0.137	0.234	0.181
柏油	危險	公車	馬路	0.705	0.479	0.345	0.435	0.179	0.157	0.217
柏油	車輛	逛街	馬路	0.703	0.479	0.467	0.319	0.246	0.137	0.178
柏油	逛街	車禍	馬路	0.699	0.479	0.319	0.458	0.137	0.195	0.225
虎口	柏油	車	馬路	0.686	0.289	0.479	0.5	0.236	0.112	0.234
虎口	柏油	公車	馬路	0.681	0.289	0.479	0.435	0.236	0.128	0.157
柏油	危險	逛街	馬路	0.665	0.479	0.345	0.319	0.179	0.137	0.162
虎口	車	垃圾	馬路	0.655	0.289	0.5	0.256	0.112	0.073	0.205
虎口	車	路人	馬路	0.637	0.289	0.5	0.362	0.112	0.19	0.212
虎口	行人	修補	馬路	0.633	0.289	0.461	0.253	0.21	0.045	0.115
行人	危險	公車	馬路	0.632	0.461	0.345	0.435	0.165	0.226	0.217
虎口	逛街	車	馬路	0.629	0.289	0.319	0.5	0.186	0.112	0.181
虎口	汽車	路人	馬路	0.623	0.289	0.453	0.362	0.122	0.19	0.17
虎口	行人	公車	馬路	0.62	0.289	0.461	0.435	0.21	0.128	0.226
虎口	汽車	垃圾	馬路	0.612	0.289	0.453	0.256	0.122	0.073	0.192
柏油	逛街	修補	馬路	0.604	0.479	0.319	0.253	0.137	0.188	0.123
柏油	修補	公車	馬路	0.594	0.479	0.253	0.435	0.188	0.157	0.227
虎口	汽車	逛街	馬路	0.593	0.289	0.453	0.319	0.122	0.186	0.161
虎口	車	行走	馬路	0.591	0.289	0.5	0.305	0.112	0.203	0.188
行人	修補	公車	馬路	0.58	0.461	0.253	0.435	0.115	0.226	0.227
虎口	修補	公車	馬路	0.576	0.289	0.253	0.435	0.045	0.128	0.227
虎口	路人	修補	馬路	0.571	0.289	0.362	0.253	0.19	0.045	0.099
虎口	柏油	車輛	馬路	0.569	0.289	0.479	0.467	0.236	0.183	0.246
虎口	柏油	修補	馬路	0.552	0.289	0.479	0.253	0.236	0.045	0.188
虎口	汽車	行走	馬路	0.552	0.289	0.453	0.305	0.122	0.203	0.171
虎口	垃圾	公車	馬路	0.533	0.289	0.256	0.435	0.073	0.128	0.246
虎口	柏油	逛街	馬路	0.528	0.289	0.479	0.319	0.236	0.186	0.137
虎口	車輛	逛街	馬路	0.527	0.289	0.467	0.319	0.183	0.186	0.178
虎口	車輛	垃圾	馬路	0.527	0.289	0.467	0.256	0.183	0.073	0.229
虎口	修補	垃圾	馬路	0.524	0.289	0.253	0.256	0.045	0.073	0.156
虎口	路人	公車	馬路	0.523	0.289	0.362	0.435	0.19	0.128	0.246
虎口	危險	公車	馬路	0.521	0.289	0.345	0.435	0.203	0.128	0.217
虎口	行人	危險	馬路	0.517	0.289	0.461	0.345	0.21	0.203	0.165
危險	路人	公車	馬路	0.512	0.345	0.362	0.435	0.168	0.217	0.246
虎口	行走	公車	馬路	0.507	0.289	0.305	0.435	0.203	0.128	0.191
虎口	逛街	修補	馬路	0.507	0.289	0.319	0.253	0.186	0.045	0.123
柏油	危險	交通	馬路	0.507	0.479	0.345	0.346	0.179	0.243	0.24
虎口	柏油	危險	馬路	0.495	0.289	0.479	0.345	0.236	0.203	0.179
虎口	交通	修補	馬路	0.495	0.289	0.346	0.253	0.189	0.045	0.159
車	垃圾	行走	馬路	0.491	0.5	0.256	0.305	0.205	0.188	0.177
柏油	交通	修補	馬路	0.488	0.479	0.346	0.253	0.243	0.188	0.159
逛街	車	坑洞	馬路	0.481	0.319	0.5	0.263	0.181	0.187	0.232
路人	修補	公車	馬路	0.478	0.362	0.253	0.435	0.099	0.246	0.227
汽車	垃圾	行走	馬路	0.475	0.453	0.256	0.305	0.192	0.171	0.177
危險	行走	公車	馬路	0.468	0.345	0.305	0.435	0.209	0.217	0.191
車禍	垃圾	行走	馬路	0.466	0.458	0.256	0.305	0.161	0.215	0.177
汽車	逛街	坑洞	馬路	0.451	0.453	0.319	0.263	0.161	0.236	0.187
虎口	柏油	交通	馬路	0.446	0.289	0.479	0.346	0.236	0.189	0.243
車	路人	坑洞	馬路	0.443	0.5	0.362	0.263	0.212	0.232	0.238
虎口	逛街	道路	馬路	0.44	0.289	0.319	0.416	0.186	0.174	0.224
虎口	危險	路人	馬路	0.436	0.289	0.345	0.362	0.203	0.19	0.168
汽車	路人	坑洞	馬路	0.434	0.453	0.362	0.263	0.17	0.236	0.238
虎口	修補	行走	馬路	0.41	0.289	0.253	0.305	0.045	0.203	0.189
虎口	危險	逛街	馬路	0.402	0.289	0.345	0.319	0.203	0.186	0.162
虎口	垃圾	行走	馬路	0.397	0.289	0.256	0.305	0.073	0.203	0.177
修補	行走	公車	馬路	0.386	0.253	0.305	0.435	0.189	0.227	0.191
垃圾	行走	公車	馬路	0.383	0.256	0.305	0.435	0.177	0.246	0.191
虎口	交通	垃圾	馬路	0.379	0.289	0.346	0.256	0.189	0.073	0.25
路人	坑洞	公車	馬路	0.369	0.362	0.263	0.435	0.238	0.246	0.207
虎口	危險	交通	馬路	0.348	0.289	0.345	0.346	0.203	0.189	0.24
虎口	危險	行走	馬路	0.324	0.289	0.345	0.305	0.203	0.203	0.209
修補	垃圾	公車	馬路	0.314	0.253	0.256	0.435	0.156	0.227	0.246
修補	垃圾	行走	馬路	0.292	0.253	0.256	0.305	0.156	0.189	0.177
交通	修補	垃圾	馬路	0.29	0.346	0.253	0.256	0.159	0.25	0.156
