				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
健身	鞍馬	柔軟度	體操	0.737	0.456	0.453	0.358	0.15	0.216	0.164
柔軟	健身	鞍馬	體操	0.706	0.278	0.456	0.453	0.159	0.172	0.15
健康	表演	鞍馬	體操	0.698	0.323	0.391	0.453	0.201	0.074	0.194
表演	強身	鞍馬	體操	0.67	0.391	0.298	0.453	0.152	0.194	0.126
健康	鞍馬	柔軟度	體操	0.664	0.323	0.453	0.358	0.074	0.233	0.164
運動	表演	鞍馬	體操	0.649	0.404	0.391	0.453	0.197	0.208	0.194
健身	優雅	鞍馬	體操	0.637	0.456	0.257	0.453	0.201	0.15	0.178
韻律	金牌	強身	體操	0.636	0.464	0.277	0.298	0.074	0.216	0.114
健康	韻律	國手	體操	0.632	0.323	0.464	0.363	0.203	0.13	0.185
健康	柔軟	鞍馬	體操	0.631	0.323	0.278	0.453	0.177	0.074	0.172
柔軟	表演	鞍馬	體操	0.627	0.278	0.391	0.453	0.128	0.172	0.194
柔軟	表演	奧運	體操	0.608	0.278	0.391	0.486	0.128	0.176	0.243
健康	表演	國手	體操	0.608	0.323	0.391	0.363	0.201	0.13	0.139
健身	金牌	柔軟度	體操	0.587	0.456	0.277	0.358	0.215	0.216	0.073
強身	鞍馬	柔軟度	體操	0.579	0.298	0.453	0.358	0.126	0.241	0.164
柔軟	健美	鞍馬	體操	0.571	0.278	0.475	0.453	0.246	0.172	0.216
柔軟	健身	金牌	體操	0.566	0.278	0.456	0.277	0.159	0.07	0.215
柔軟	表演	國手	體操	0.558	0.278	0.391	0.363	0.128	0.207	0.139
優美	表演	國手	體操	0.557	0.302	0.391	0.363	0.232	0.129	0.139
健康	韻律	金牌	體操	0.55	0.323	0.464	0.277	0.203	0.236	0.074
健康	選手	柔軟	體操	0.547	0.323	0.459	0.278	0.152	0.177	0.183
健美	優雅	鞍馬	體操	0.545	0.475	0.257	0.453	0.246	0.216	0.178
健康	優雅	鞍馬	體操	0.542	0.323	0.257	0.453	0.239	0.074	0.178
表演	優雅	鞍馬	體操	0.54	0.391	0.257	0.453	0.189	0.194	0.178
健身	國手	柔軟度	體操	0.537	0.456	0.363	0.358	0.243	0.216	0.182
柔軟	表演	金牌	體操	0.53	0.278	0.391	0.277	0.128	0.07	0.217
運動	表演	金牌	體操	0.522	0.404	0.391	0.277	0.197	0.136	0.217
金牌	強身	柔軟度	體操	0.506	0.277	0.298	0.358	0.114	0.073	0.241
表演	優雅	國手	體操	0.5	0.391	0.257	0.363	0.189	0.139	0.183
健康	國手	柔軟度	體操	0.499	0.323	0.363	0.358	0.13	0.233	0.182
優雅	強身	鞍馬	體操	0.498	0.257	0.298	0.453	0.206	0.178	0.126
健康	動作	金牌	體操	0.494	0.323	0.419	0.277	0.162	0.236	0.127
優美	表演	鞍馬	體操	0.493	0.302	0.391	0.453	0.232	0.227	0.194
柔軟	健身	國手	體操	0.489	0.278	0.456	0.363	0.159	0.207	0.243
優美	金牌	強身	體操	0.488	0.302	0.277	0.298	0.061	0.216	0.114
健康	柔軟	表演	體操	0.486	0.323	0.278	0.391	0.177	0.201	0.128
優美	強身	鞍馬	體操	0.485	0.302	0.298	0.453	0.216	0.227	0.126
表演	金牌	強身	體操	0.483	0.391	0.277	0.298	0.217	0.152	0.114
優美	表演	奧運	體操	0.48	0.302	0.391	0.486	0.232	0.225	0.243
健身	優雅	金牌	體操	0.465	0.456	0.257	0.277	0.201	0.215	0.108
表演	奧運	優雅	體操	0.462	0.391	0.486	0.257	0.243	0.189	0.24
優美	表演	金牌	體操	0.461	0.302	0.391	0.277	0.232	0.061	0.217
健康	柔軟	國手	體操	0.45	0.323	0.278	0.363	0.177	0.13	0.207
健身	優雅	國手	體操	0.449	0.456	0.257	0.363	0.201	0.243	0.183
健美	優雅	國手	體操	0.441	0.475	0.257	0.363	0.246	0.225	0.183
柔軟	健美	國手	體操	0.438	0.278	0.475	0.363	0.246	0.207	0.225
健康	金牌	柔軟度	體操	0.417	0.323	0.277	0.358	0.236	0.233	0.073
健康	金牌	訓練	體操	0.416	0.323	0.277	0.449	0.236	0.214	0.183
表演	優雅	金牌	體操	0.411	0.391	0.257	0.277	0.189	0.217	0.108
優雅	金牌	強身	體操	0.404	0.257	0.277	0.298	0.108	0.206	0.114
健康	柔軟	比賽	體操	0.404	0.323	0.278	0.433	0.177	0.237	0.216
表演	優雅	強身	體操	0.399	0.391	0.257	0.298	0.189	0.152	0.206
健康	柔軟	金牌	體操	0.394	0.323	0.278	0.277	0.177	0.236	0.07
優美	表演	強身	體操	0.392	0.302	0.391	0.298	0.232	0.216	0.152
健康	優雅	國手	體操	0.39	0.323	0.257	0.363	0.239	0.13	0.183
選手	優美	強身	體操	0.389	0.459	0.302	0.298	0.216	0.239	0.216
健康	表演	優雅	體操	0.342	0.323	0.391	0.257	0.201	0.239	0.189
健康	表演	金牌	體操	0.337	0.323	0.391	0.277	0.201	0.236	0.217
健康	優雅	金牌	體操	0.273	0.323	0.257	0.277	0.239	0.236	0.108
