				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
羽毛	保護	獵人	鳥類	0.701	0.46	0.357	0.374	0.106	0.191	0.191
羽毛	保護	蟲鳴	鳥類	0.643	0.46	0.357	0.371	0.106	0.207	0.231
保護	獵人	翱翔	鳥類	0.619	0.357	0.374	0.339	0.191	0.095	0.164
飛行	保育	蟲鳴	鳥類	0.605	0.493	0.392	0.371	0.202	0.215	0.233
保育	飛	蟲鳴	鳥類	0.593	0.392	0.321	0.371	0.027	0.233	0.229
飛	羽毛	保護	鳥類	0.581	0.321	0.46	0.357	0.235	0.214	0.106
保育	翅膀	獵人	鳥類	0.553	0.392	0.39	0.374	0.168	0.207	0.227
保育	獵人	翱翔	鳥類	0.553	0.392	0.374	0.339	0.207	0.18	0.164
保護	蟲鳴	翱翔	鳥類	0.546	0.357	0.371	0.339	0.231	0.095	0.194
翅膀	保護	獵人	鳥類	0.543	0.39	0.357	0.374	0.159	0.227	0.191
保育	翅膀	蟲鳴	鳥類	0.536	0.392	0.39	0.371	0.168	0.233	0.215
翅膀	保護	蟲鳴	鳥類	0.513	0.39	0.357	0.371	0.159	0.215	0.231
保育	蟲鳴	翱翔	鳥類	0.493	0.392	0.371	0.339	0.233	0.18	0.194
飛	羽毛	蟲鳴	鳥類	0.48	0.321	0.46	0.371	0.235	0.229	0.207
保育	翱翔	可愛	鳥類	0.425	0.392	0.339	0.316	0.18	0.248	0.194
飛	保護	蟲鳴	鳥類	0.374	0.321	0.357	0.371	0.214	0.229	0.231
