				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
愛情	吃	烘焙	麵包	0.653	0.373	0.382	0.494	0.158	0.243	0.195
午餐	烘焙	發霉	麵包	0.638	0.409	0.494	0.399	0.247	0.168	0.248
出爐	咖啡	糧食	麵包	0.637	0.289	0.424	0.387	0.083	0.143	0.237
愛情	烘焙	肚子	麵包	0.612	0.373	0.494	0.3	0.243	0.149	0.163
開水	吃	烘焙	麵包	0.608	0.344	0.382	0.494	0.21	0.207	0.195
出爐	蛋塔	糧食	麵包	0.605	0.289	0.295	0.387	0.143	0.143	0.079
吃	烘焙	食糧	麵包	0.604	0.382	0.494	0.304	0.195	0.236	0.145
出爐	烘焙	肚子	麵包	0.603	0.289	0.494	0.3	0.196	0.12	0.163
開水	午餐	烘焙	麵包	0.6	0.344	0.409	0.494	0.193	0.207	0.247
果醬	出爐	肚子	麵包	0.595	0.493	0.289	0.3	0.249	0.117	0.12
吃	白開水	烘焙	麵包	0.594	0.382	0.315	0.494	0.227	0.195	0.175
烘焙	食糧	肚子	麵包	0.591	0.494	0.304	0.3	0.145	0.163	0.199
果醬	溫飽	蛋塔	麵包	0.591	0.493	0.341	0.295	0.195	0.212	0.131
愛情	午餐	烘焙	麵包	0.59	0.373	0.409	0.494	0.196	0.243	0.247
午餐	烘焙	食糧	麵包	0.589	0.409	0.494	0.304	0.247	0.226	0.145
小麥	土司	吃	麵包	0.588	0.392	0.403	0.382	0.183	0.166	0.242
出爐	烘焙	糧食	麵包	0.581	0.289	0.494	0.387	0.196	0.143	0.248
出爐	咖啡	饑餓	麵包	0.581	0.289	0.424	0.337	0.083	0.199	0.187
出爐	烘焙	饑餓	麵包	0.58	0.289	0.494	0.337	0.196	0.199	0.144
果醬	午餐	出爐	麵包	0.576	0.493	0.409	0.289	0.17	0.249	0.196
小麥	土司	肚子	麵包	0.575	0.392	0.403	0.3	0.183	0.147	0.191
開水	烘焙	肚子	麵包	0.572	0.344	0.494	0.3	0.207	0.196	0.163
午餐	白開水	烘焙	麵包	0.566	0.409	0.315	0.494	0.229	0.247	0.175
愛情	土司	吃	麵包	0.562	0.373	0.403	0.382	0.197	0.158	0.242
小麥	土司	出爐	麵包	0.56	0.392	0.403	0.289	0.183	0.189	0.154
烘焙	發霉	肚子	麵包	0.558	0.494	0.399	0.3	0.248	0.163	0.225
出爐	咖啡	溫飽	麵包	0.558	0.289	0.424	0.341	0.083	0.219	0.195
吃	出爐	烘焙	麵包	0.554	0.382	0.289	0.494	0.219	0.195	0.196
出爐	烘焙	食糧	麵包	0.554	0.289	0.494	0.304	0.196	0.192	0.145
午餐	出爐	烘焙	麵包	0.552	0.409	0.289	0.494	0.196	0.247	0.196
牛奶	出爐	饑餓	麵包	0.55	0.49	0.289	0.337	0.156	0.211	0.199
果醬	蛋塔	肚子	麵包	0.549	0.493	0.295	0.3	0.212	0.117	0.209
小麥	出爐	美味	麵包	0.546	0.392	0.289	0.427	0.189	0.19	0.183
白開水	烘焙	肚子	麵包	0.546	0.315	0.494	0.3	0.175	0.225	0.163
午餐	烘焙	糧食	麵包	0.545	0.409	0.494	0.387	0.247	0.248	0.248
土司	出爐	糧食	麵包	0.545	0.403	0.289	0.387	0.154	0.237	0.143
小麥	出爐	蛋塔	麵包	0.539	0.392	0.289	0.295	0.189	0.106	0.143
愛情	土司	肚子	麵包	0.539	0.373	0.403	0.3	0.197	0.149	0.191
出爐	咖啡	食糧	麵包	0.534	0.289	0.424	0.304	0.083	0.192	0.209
土司	發霉	肚子	麵包	0.531	0.403	0.399	0.3	0.156	0.191	0.225
果醬	吃	出爐	麵包	0.529	0.493	0.382	0.289	0.167	0.249	0.219
土司	出爐	肚子	麵包	0.527	0.403	0.289	0.3	0.154	0.191	0.12
小麥	出爐	肚子	麵包	0.525	0.392	0.289	0.3	0.189	0.147	0.12
小麥	蛋塔	肚子	麵包	0.524	0.392	0.295	0.3	0.106	0.147	0.209
開水	土司	吃	麵包	0.523	0.344	0.403	0.382	0.154	0.21	0.242
牛奶	出爐	食糧	麵包	0.52	0.49	0.289	0.304	0.156	0.216	0.192
小麥	午餐	出爐	麵包	0.52	0.392	0.409	0.289	0.186	0.189	0.196
牛奶	出爐	溫飽	麵包	0.517	0.49	0.289	0.341	0.156	0.229	0.219
土司	出爐	食糧	麵包	0.516	0.403	0.289	0.304	0.154	0.135	0.192
土司	飲料	肚子	麵包	0.515	0.403	0.418	0.3	0.203	0.191	0.212
出爐	烘焙	溫飽	麵包	0.513	0.289	0.494	0.341	0.196	0.219	0.195
土司	吃	飲料	麵包	0.513	0.403	0.382	0.418	0.242	0.203	0.246
早餐	出爐	饑餓	麵包	0.51	0.498	0.289	0.337	0.185	0.23	0.199
愛情	可口	肚子	麵包	0.508	0.373	0.355	0.3	0.143	0.149	0.228
開水	土司	肚子	麵包	0.506	0.344	0.403	0.3	0.154	0.196	0.191
土司	出爐	饑餓	麵包	0.503	0.403	0.289	0.337	0.154	0.174	0.199
愛情	午餐	香甜	麵包	0.503	0.373	0.409	0.344	0.196	0.197	0.23
愛情	早餐	出爐	麵包	0.502	0.373	0.498	0.289	0.229	0.243	0.185
開水	午餐	香甜	麵包	0.501	0.344	0.409	0.344	0.193	0.172	0.23
午餐	出爐	糧食	麵包	0.497	0.409	0.289	0.387	0.196	0.248	0.143
小麥	吃	出爐	麵包	0.491	0.392	0.382	0.289	0.166	0.189	0.219
白開水	出爐	烘焙	麵包	0.487	0.315	0.289	0.494	0.239	0.175	0.196
土司	出爐	溫飽	麵包	0.483	0.403	0.289	0.341	0.154	0.177	0.219
土司	食糧	肚子	麵包	0.482	0.403	0.304	0.3	0.135	0.191	0.199
土司	吃	食糧	麵包	0.477	0.403	0.382	0.304	0.242	0.135	0.236
土司	吃	白開水	麵包	0.477	0.403	0.382	0.315	0.242	0.155	0.227
小麥	可口	肚子	麵包	0.475	0.392	0.355	0.3	0.197	0.147	0.228
小麥	香味	午餐	麵包	0.473	0.392	0.309	0.409	0.225	0.186	0.226
愛情	出爐	烘焙	麵包	0.473	0.373	0.289	0.494	0.243	0.243	0.196
果醬	出爐	蛋塔	麵包	0.473	0.493	0.289	0.295	0.249	0.212	0.143
愛情	土司	出爐	麵包	0.471	0.373	0.403	0.289	0.197	0.243	0.154
出爐	食糧	蛋塔	麵包	0.468	0.289	0.304	0.295	0.192	0.143	0.086
開水	香味	午餐	麵包	0.464	0.344	0.309	0.409	0.179	0.193	0.226
出爐	可口	糧食	麵包	0.461	0.289	0.355	0.387	0.206	0.143	0.22
香味	出爐	糧食	麵包	0.461	0.309	0.289	0.387	0.153	0.227	0.143
小麥	香味	吃	麵包	0.46	0.392	0.309	0.382	0.225	0.166	0.233
土司	吃	出爐	麵包	0.46	0.403	0.382	0.289	0.242	0.154	0.219
果醬	出爐	溫飽	麵包	0.46	0.493	0.289	0.341	0.249	0.195	0.219
土司	白開水	出爐	麵包	0.459	0.403	0.315	0.289	0.155	0.154	0.239
