				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
晚霞	昏暗	結束	黃昏	0.739	0.476	0.395	0.32	0.225	0.12	0.107
美景	昏暗	結束	黃昏	0.67	0.31	0.395	0.32	0.182	0.067	0.107
太陽	昏暗	結束	黃昏	0.642	0.459	0.395	0.32	0.229	0.197	0.107
太陽	浪漫	結束	黃昏	0.614	0.459	0.32	0.32	0.138	0.197	0.151
市場	浪漫	清晨	黃昏	0.594	0.261	0.32	0.498	0.113	0.128	0.244
太陽	美景	結束	黃昏	0.593	0.459	0.31	0.32	0.233	0.197	0.067
市場	晚霞	昏暗	黃昏	0.581	0.261	0.476	0.395	0.166	0.16	0.225
美麗	昏暗	結束	黃昏	0.557	0.371	0.395	0.32	0.203	0.22	0.107
太陽	美景	昏暗	黃昏	0.52	0.459	0.31	0.395	0.233	0.229	0.182
美麗	結束	白天	黃昏	0.456	0.371	0.32	0.371	0.22	0.164	0.221
市場	早晨	美景	黃昏	0.436	0.261	0.465	0.31	0.157	0.194	0.25
市場	美景	昏暗	黃昏	0.431	0.261	0.31	0.395	0.194	0.16	0.182
