				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
永恆	銀子	狗屎	黃金	0.591	0.317	0.404	0.269	0.124	0.129	0.146
銀兩	永恆	狗屎	黃金	0.535	0.324	0.317	0.269	0.103	0.143	0.129
礦物	永恆	狗屎	黃金	0.485	0.341	0.317	0.269	0.19	0.123	0.129
銀兩	閃耀	狗屎	黃金	0.47	0.324	0.341	0.269	0.21	0.143	0.111
閃亮	銀兩	狗屎	黃金	0.465	0.347	0.324	0.269	0.248	0.084	0.143
貴重	狗屎	富翁	黃金	0.43	0.429	0.269	0.255	0.142	0.159	0.222
錢	永恆	狗屎	黃金	0.416	0.374	0.317	0.269	0.183	0.231	0.129
閃亮	狗屎	富翁	黃金	0.413	0.347	0.269	0.255	0.084	0.152	0.222
閃耀	狗屎	富翁	黃金	0.4	0.341	0.269	0.255	0.111	0.132	0.222
永恆	錢財	狗屎	黃金	0.398	0.317	0.292	0.269	0.18	0.129	0.171
昂貴	銀兩	狗屎	黃金	0.397	0.346	0.324	0.269	0.238	0.16	0.143
錢	閃耀	狗屎	黃金	0.395	0.374	0.341	0.269	0.247	0.231	0.111
錢財	閃耀	狗屎	黃金	0.38	0.292	0.341	0.269	0.24	0.171	0.111
狗屎	珍貴	富翁	黃金	0.373	0.269	0.383	0.255	0.16	0.222	0.152
礦物	狗屎	富翁	黃金	0.343	0.341	0.269	0.255	0.123	0.177	0.222
礦物	永恆	富翁	黃金	0.338	0.341	0.317	0.255	0.19	0.177	0.207
礦物	永恆	糞土	黃金	0.327	0.341	0.317	0.319	0.19	0.246	0.214
昂貴	狗屎	富翁	黃金	0.288	0.346	0.269	0.255	0.16	0.199	0.222
永恆	狗屎	富翁	黃金	0.283	0.317	0.269	0.255	0.129	0.207	0.222
價值	狗屎	富翁	黃金	0.23	0.311	0.269	0.255	0.165	0.219	0.222
富貴	狗屎	富翁	黃金	0.141	0.289	0.269	0.255	0.202	0.248	0.222
