				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
害怕	地獄	亮光	黑暗	0.756	0.4	0.371	0.482	0.121	0.235	0.141
恐怖	孤獨	亮光	黑暗	0.755	0.478	0.407	0.482	0.218	0.198	0.196
害怕	角落	地獄	黑暗	0.708	0.4	0.415	0.371	0.193	0.121	0.165
地獄	晚上	亮光	黑暗	0.661	0.371	0.257	0.482	0.083	0.141	0.225
害怕	地獄	燈光	黑暗	0.638	0.4	0.371	0.31	0.121	0.134	0.188
害怕	燭火	罪惡	黑暗	0.63	0.4	0.355	0.396	0.08	0.204	0.237
白天	神秘	罪惡	黑暗	0.624	0.342	0.455	0.396	0.22	0.127	0.221
害怕	角落	燈塔	黑暗	0.623	0.4	0.415	0.265	0.193	0.041	0.224
害怕	角落	罪惡	黑暗	0.617	0.4	0.415	0.396	0.193	0.204	0.197
害怕	亮光	罪惡	黑暗	0.608	0.4	0.482	0.396	0.235	0.204	0.23
白天	地獄	神秘	黑暗	0.598	0.342	0.371	0.455	0.125	0.22	0.224
恐怖	角落	燈塔	黑暗	0.597	0.478	0.415	0.265	0.249	0.088	0.224
白天	角落	地獄	黑暗	0.597	0.342	0.415	0.371	0.241	0.125	0.165
晚上	亮光	罪惡	黑暗	0.596	0.257	0.482	0.396	0.225	0.085	0.23
白天	角落	罪惡	黑暗	0.588	0.342	0.415	0.396	0.241	0.127	0.197
可怕	白天	燭火	黑暗	0.587	0.478	0.342	0.355	0.249	0.095	0.246
神秘	晚上	罪惡	黑暗	0.568	0.455	0.257	0.396	0.234	0.221	0.085
恐懼	白天	角落	黑暗	0.568	0.405	0.342	0.415	0.169	0.185	0.241
恐怖	晚上	亮光	黑暗	0.565	0.478	0.257	0.482	0.23	0.198	0.225
邪惡	晚上	亮光	黑暗	0.562	0.438	0.257	0.482	0.204	0.187	0.225
白天	恐怖	孤獨	黑暗	0.559	0.342	0.478	0.407	0.232	0.218	0.218
害怕	角落	燈光	黑暗	0.558	0.4	0.415	0.31	0.193	0.134	0.24
孤獨	晚上	亮光	黑暗	0.557	0.407	0.257	0.482	0.169	0.196	0.225
地獄	燈光	神秘	黑暗	0.551	0.371	0.31	0.455	0.188	0.224	0.173
白天	恐怖	燭火	黑暗	0.549	0.342	0.478	0.355	0.232	0.246	0.149
神秘	燭火	罪惡	黑暗	0.547	0.455	0.355	0.396	0.201	0.221	0.237
角落	地獄	晚上	黑暗	0.546	0.415	0.371	0.257	0.165	0.249	0.083
地獄	神秘	晚上	黑暗	0.542	0.371	0.455	0.257	0.224	0.083	0.234
角落	晚上	罪惡	黑暗	0.537	0.415	0.257	0.396	0.249	0.197	0.085
恐懼	晚上	亮光	黑暗	0.535	0.405	0.257	0.482	0.153	0.231	0.225
白天	恐怖	燈塔	黑暗	0.527	0.342	0.478	0.265	0.232	0.238	0.088
恐怖	孤獨	晚上	黑暗	0.525	0.478	0.407	0.257	0.218	0.23	0.169
邪惡	白天	角落	黑暗	0.522	0.438	0.342	0.415	0.21	0.223	0.241
恐怖	燭火	晚上	黑暗	0.52	0.478	0.355	0.257	0.149	0.23	0.191
可怕	白天	燈塔	黑暗	0.519	0.478	0.342	0.265	0.249	0.08	0.238
恐怖	晚上	燈塔	黑暗	0.516	0.478	0.257	0.265	0.23	0.088	0.166
恐怖	角落	燈光	黑暗	0.514	0.478	0.415	0.31	0.249	0.201	0.24
白天	恐怖	角落	黑暗	0.513	0.342	0.478	0.415	0.232	0.241	0.249
角落	地獄	燈光	黑暗	0.504	0.415	0.371	0.31	0.165	0.24	0.188
燭火	晚上	罪惡	黑暗	0.496	0.355	0.257	0.396	0.191	0.237	0.085
恐懼	角落	晚上	黑暗	0.491	0.405	0.415	0.257	0.185	0.153	0.249
白天	神秘	燭火	黑暗	0.484	0.342	0.455	0.355	0.22	0.246	0.201
白天	角落	危險	黑暗	0.484	0.342	0.415	0.315	0.241	0.153	0.195
白天	燭火	罪惡	黑暗	0.483	0.342	0.355	0.396	0.246	0.127	0.237
危險	晚上	亮光	黑暗	0.481	0.315	0.257	0.482	0.118	0.23	0.225
白天	神秘	燈塔	黑暗	0.46	0.342	0.455	0.265	0.22	0.238	0.144
恐怖	寂靜	晚上	黑暗	0.442	0.478	0.407	0.257	0.246	0.23	0.224
神秘	燭火	晚上	黑暗	0.441	0.455	0.355	0.257	0.201	0.234	0.191
邪惡	角落	晚上	黑暗	0.435	0.438	0.415	0.257	0.223	0.204	0.249
神秘	晚上	燈塔	黑暗	0.433	0.455	0.257	0.265	0.234	0.144	0.166
角落	危險	晚上	黑暗	0.425	0.415	0.315	0.257	0.195	0.249	0.118
恐怖	角落	晚上	黑暗	0.422	0.478	0.415	0.257	0.249	0.23	0.249
危險	燭火	晚上	黑暗	0.371	0.315	0.355	0.257	0.247	0.118	0.191
白天	危險	燭火	黑暗	0.367	0.342	0.315	0.355	0.153	0.246	0.247
白天	角落	燈塔	黑暗	0.32	0.342	0.415	0.265	0.241	0.238	0.224
角落	晚上	燈塔	黑暗	0.298	0.415	0.257	0.265	0.249	0.224	0.166
