				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
臉	鼻塞	大象	鼻子	0.817	0.431	0.472	0.423	0.218	0.101	0.19
呼吸	臉	大象	鼻子	0.782	0.365	0.431	0.423	0.146	0.191	0.101
臉	大象	流鼻水	鼻子	0.747	0.431	0.423	0.418	0.101	0.25	0.175
臉	大象	香味	鼻子	0.73	0.431	0.423	0.344	0.101	0.146	0.222
器官	臉	大象	鼻子	0.729	0.297	0.431	0.423	0.086	0.235	0.101
嗅覺	粉刺	大象	鼻子	0.728	0.39	0.389	0.423	0.121	0.176	0.178
嗅覺	臉	大象	鼻子	0.727	0.39	0.431	0.423	0.24	0.176	0.101
味道	臉	大象	鼻子	0.725	0.363	0.431	0.423	0.187	0.204	0.101
呼吸	情聖	大象	鼻子	0.709	0.365	0.363	0.423	0.075	0.191	0.177
情聖	大象	流鼻水	鼻子	0.706	0.363	0.423	0.418	0.177	0.146	0.175
器官	臉	鼻塞	鼻子	0.695	0.297	0.431	0.472	0.086	0.201	0.218
鼻塞	情聖	大象	鼻子	0.692	0.472	0.363	0.423	0.199	0.19	0.177
五官	情聖	流鼻水	鼻子	0.676	0.434	0.363	0.418	0.157	0.236	0.146
嗅覺	大象	流鼻水	鼻子	0.665	0.39	0.423	0.418	0.176	0.215	0.175
臉	感冒	大象	鼻子	0.661	0.431	0.32	0.423	0.185	0.101	0.228
臉	大象	味覺	鼻子	0.66	0.431	0.423	0.251	0.101	0.219	0.126
器官	臉	流鼻水	鼻子	0.652	0.297	0.431	0.418	0.086	0.158	0.25
五官	情聖	大象	鼻子	0.65	0.434	0.363	0.423	0.157	0.237	0.177
器官	情聖	流鼻水	鼻子	0.629	0.297	0.363	0.418	0.144	0.158	0.146
五官	大象	流鼻水	鼻子	0.628	0.434	0.423	0.418	0.237	0.236	0.175
器官	味道	臉	鼻子	0.616	0.297	0.363	0.431	0.201	0.086	0.187
粉刺	情聖	大象	鼻子	0.614	0.389	0.363	0.423	0.206	0.178	0.177
五官	豬	流鼻水	鼻子	0.607	0.434	0.305	0.418	0.106	0.236	0.208
五官	過敏	鼻涕	鼻子	0.605	0.434	0.307	0.492	0.219	0.167	0.242
五官	過敏	大象	鼻子	0.6	0.434	0.307	0.423	0.219	0.237	0.108
味道	大象	流鼻水	鼻子	0.598	0.363	0.423	0.418	0.204	0.228	0.175
臉	流鼻水	香味	鼻子	0.591	0.431	0.418	0.344	0.25	0.146	0.207
器官	臉	感冒	鼻子	0.589	0.297	0.431	0.32	0.086	0.187	0.185
器官	鼻塞	情聖	鼻子	0.588	0.297	0.472	0.363	0.201	0.144	0.199
大象	流鼻水	香味	鼻子	0.581	0.423	0.418	0.344	0.175	0.222	0.207
大象	味覺	流鼻水	鼻子	0.579	0.423	0.251	0.418	0.126	0.175	0.213
過敏	情聖	大象	鼻子	0.575	0.307	0.363	0.423	0.233	0.108	0.177
器官	大象	流鼻水	鼻子	0.57	0.297	0.423	0.418	0.235	0.158	0.175
情聖	流鼻水	香味	鼻子	0.569	0.363	0.418	0.344	0.146	0.202	0.207
器官	鼻塞	大象	鼻子	0.565	0.297	0.472	0.423	0.201	0.235	0.19
情聖	大象	味覺	鼻子	0.564	0.363	0.423	0.251	0.177	0.17	0.126
粉刺	大象	味覺	鼻子	0.563	0.389	0.423	0.251	0.178	0.196	0.126
眼鏡	大象	流鼻水	鼻子	0.561	0.273	0.423	0.418	0.181	0.197	0.175
五官	感冒	情聖	鼻子	0.555	0.434	0.32	0.363	0.208	0.157	0.197
